R-DRE-186797	Signaling by PDGF	21	30	1	1	1	0	0	0	1	0	0	11	30	4851	0.93451	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	56	100	3	2	0	2	2	2	3	0	0	11	100	4781	0.79658	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112310	Neurotransmitter release cycle	26	41	2	1	0	1	1	1	2	0	0	11	41	4840	0.91149	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-888590	GABA synthesis, release, reuptake and degradation	10	21	1	0	0	0	0	0	1	0	0	11	21	4860	0.95373	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-674695	RNA Polymerase II Pre-transcription Events	23	48	2	2	2	1	1	1	2	1	1	10	47	4834	0.9951	0.10289	0.10289	2.08	449949	ssrp1b	ENSDARG00000016994		0.461335	0.461335	0.461335		0.461335		0.263635	0.263635	0.263635		0.263635		0.807293	0.807293	0.807293		0.807293						0.461335	0.263635	0.807293	1	0	1	449949	ENSDARG00000016994	0.461335	0.461335		0.263635	0.263635		0.807293	0.807293		0.461335	0.263635	0.807293	0															0						Linear,1(1)	1.7943323850631714	1.7943323850631714	1.7943323850631714	1.7943323850631714	0.0	1.7943323850631714	0.461335	0.461335	0.263635	0.263635	0.807293	0.807293	UP	1.0	0.0	0.0	
R-DRE-6794361	Neurexins and neuroligins	12	14	1	1	1	0	0	0	1	0	0	11	14	4867	0.96894	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6794362	Protein-protein interactions at synapses	29	38	2	2	1	1	1	1	2	0	0	11	38	4843	0.91772	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9013419	RHOT2 GTPase cycle	3	4	1	0	0	1	1	1	1	0	0	11	4	4877	0.99103	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9013425	RHOT1 GTPase cycle	3	3	1	0	0	1	1	1	1	0	0	11	3	4878	0.99327	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9715370	Miro GTPase Cycle	4	5	1	0	0	1	1	1	1	0	0	11	5	4876	0.9888	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6806834	Signaling by MET	34	47	2	2	2	2	2	2	2	2	2	9	45	4836	0.99987	0.0047026	0.0047026	4.26	561679;386967	col11a2;stam	ENSDARG00000012422;ENSDARG00000002127		0.21304725	0.21304725	0.0135395	0.2821465658485408	0.11087305592412743	0.24233768330578892	0.12452852	0.12452852	0.00272404	0.17225754757380238	0.06214861456359094	0.14795322737821615	0.3791198	0.3791198	0.0672966	0.44098459850257804	0.2194253312179119	0.3787647942949468					0.412555;0.0135395	0.246333;0.00272404	0.690943;0.0672966	1	1	1	561679	ENSDARG00000012422	0.412555	0.412555		0.246333	0.246333		0.690943	0.690943		0.412555	0.246333	0.690943	1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(0.5);Linear,1(0.5)	2.2442250362689435	4.5856945514678955	1.8231637477874756	2.76253080368042	0.6642328152451435	2.2928472757339478	-0.17798794000000004	0.60408244	-0.11420826079999999	0.36326530079999997	-0.23205367199999993	0.990293272	CONFLICT	0.5	0.5	0.0	
R-DRE-8856828	Clathrin-mediated endocytosis	61	84	2	1	1	1	1	1	2	1	1	10	83	4798	0.98551	0.17363	0.17363	1.19	386967	stam	ENSDARG00000002127		0.0135395	0.0135395	0.0135395		0.0135395		0.00272404	0.00272404	0.00272404		0.00272404		0.0672966	0.0672966	0.0672966		0.0672966						0.0135395	0.00272404	0.0672966	0	1	0															1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(1)	2.76253080368042	2.76253080368042	2.76253080368042	2.76253080368042	0.0	2.76253080368042	0.0135395	0.0135395	0.00272404	0.00272404	0.0672966	0.0672966	DOWN	0.0	1.0	0.0	
R-DRE-3214847	HATs acetylate histones	17	34	1	1	1	1	1	1	1	1	1	10	33	4848	0.99752	0.073922	0.073922	2.94	323181	kat7b	ENSDARG00000031770		0.480523	0.480523	0.480523		0.480523		0.269546	0.269546	0.269546		0.269546		0.856635	0.856635	0.856635		0.856635						0.480523	0.269546	0.856635	1	0	1	323181	ENSDARG00000031770	0.480523	0.480523		0.269546	0.269546		0.856635	0.856635		0.480523	0.269546	0.856635	0															0						Linear,1(1)	3.357515573501587	3.357515573501587	3.357515573501587	3.357515573501587	0.0	3.357515573501587	0.480523	0.480523	0.269546	0.269546	0.856635	0.856635	UP	1.0	0.0	0.0	
R-DRE-1474290	Collagen formation	16	34	2	2	2	1	1	1	2	1	1	10	33	4848	0.99752	0.073922	0.073922	2.94	561679	col11a2	ENSDARG00000012422		0.412555	0.412555	0.412555		0.41255499999999995		0.246333	0.246333	0.246333		0.246333		0.690943	0.690943	0.690943		0.6909429999999999						0.412555	0.246333	0.690943	1	0	1	561679	ENSDARG00000012422	0.412555	0.412555		0.246333	0.246333		0.690943	0.690943		0.412555	0.246333	0.690943	0															0						Linear,1(1)	1.8231637477874756	1.8231637477874756	1.8231637477874756	1.8231637477874756	0.0	1.8231637477874756	0.412555	0.412555	0.246333	0.246333	0.690943	0.690943	UP	1.0	0.0	0.0	
R-DRE-1650814	Collagen biosynthesis and modifying enzymes	15	30	2	2	2	1	1	1	2	1	1	10	29	4852	0.99807	0.065491	0.065491	3.33	561679	col11a2	ENSDARG00000012422		0.412555	0.412555	0.412555		0.41255499999999995		0.246333	0.246333	0.246333		0.246333		0.690943	0.690943	0.690943		0.6909429999999999						0.412555	0.246333	0.690943	1	0	1	561679	ENSDARG00000012422	0.412555	0.412555		0.246333	0.246333		0.690943	0.690943		0.412555	0.246333	0.690943	0															0						Linear,1(1)	1.8231637477874756	1.8231637477874756	1.8231637477874756	1.8231637477874756	0.0	1.8231637477874756	0.412555	0.412555	0.246333	0.246333	0.690943	0.690943	UP	1.0	0.0	0.0	
R-DRE-8951664	Neddylation	74	144	1	1	0	1	1	1	1	0	0	11	144	4737	0.71965	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-157579	Telomere Maintenance	22	45	1	1	0	1	1	0	1	0	0	11	45	4836	0.90325	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-180786	Extension of Telomeres	12	28	1	1	0	1	1	0	1	0	0	11	28	4853	0.93875	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-73886	Chromosome Maintenance	29	63	1	1	0	1	1	0	1	0	0	11	63	4818	0.86699	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-212676	Dopamine Neurotransmitter Release Cycle	13	14	1	1	0	1	1	1	1	0	0	11	14	4867	0.96894	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8957322	Metabolism of steroids	29	62	1	1	1	0	0	0	1	0	0	11	62	4819	0.86897	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8980692	RHOA GTPase cycle	62	77	3	1	1	1	1	1	3	1	1	10	76	4805	0.98773	0.16029	0.16029	1.3	561082	cavin1b	ENSDARG00000059362		0.522871	0.522871	0.522871		0.522871		0.281995	0.281995	0.281995		0.281995		0.969497	0.969497	0.969497		0.9694970000000002						0.522871	0.281995	0.969497	1	0	1	561082	ENSDARG00000059362	0.522871	0.522871		0.281995	0.281995		0.969497	0.969497		0.522871	0.281995	0.969497	0															0						Linear,1(1)	2.0276551246643066	2.0276551246643066	2.0276551246643066	2.0276551246643066	0.0	2.0276551246643066	0.522871	0.522871	0.281995	0.281995	0.969497	0.969497	UP	1.0	0.0	0.0	
R-DRE-9013106	RHOC GTPase cycle	36	39	3	1	1	1	1	1	3	1	1	10	38	4843	0.99674	0.084364	0.084364	2.56	561082	cavin1b	ENSDARG00000059362		0.522871	0.522871	0.522871		0.522871		0.281995	0.281995	0.281995		0.281995		0.969497	0.969497	0.969497		0.9694970000000002						0.522871	0.281995	0.969497	1	0	1	561082	ENSDARG00000059362	0.522871	0.522871		0.281995	0.281995		0.969497	0.969497		0.522871	0.281995	0.969497	0															0						Linear,1(1)	2.0276551246643066	2.0276551246643066	2.0276551246643066	2.0276551246643066	0.0	2.0276551246643066	0.522871	0.522871	0.281995	0.281995	0.969497	0.969497	UP	1.0	0.0	0.0	
R-DRE-9013405	RHOD GTPase cycle	21	30	1	0	0	0	0	0	1	0	0	11	30	4851	0.93451	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9013406	RHOQ GTPase cycle	28	36	1	0	0	0	0	0	1	0	0	11	36	4845	0.92189	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9013408	RHOG GTPase cycle	33	40	2	1	1	1	1	1	2	1	1	10	39	4842	0.99658	0.086439	0.086439	2.5	559297	ankle2	ENSDARG00000035607		0.467483	0.467483	0.467483		0.467483		0.26556	0.26556	0.26556		0.26556		0.82294	0.82294	0.82294		0.82294						0.467483	0.26556	0.82294	1	0	1	559297	ENSDARG00000035607	0.467483	0.467483		0.26556	0.26556		0.82294	0.82294		0.467483	0.26556	0.82294	0															0						Linear,1(1)	1.9808968305587769	1.9808968305587769	1.9808968305587769	1.9808968305587769	0.0	1.9808968305587769	0.467483	0.467483	0.26556	0.26556	0.82294	0.82294	UP	1.0	0.0	0.0	
R-DRE-9013409	RHOJ GTPase cycle	26	32	1	0	0	0	0	0	1	0	0	11	32	4849	0.93028	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6791312	TP53 Regulates Transcription of Cell Cycle Genes	15	27	1	1	0	1	1	0	1	0	0	11	27	4854	0.94088	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6804114	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	3	6	1	1	0	1	1	0	1	0	0	11	6	4875	0.98658	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	14	43	1	1	1	1	1	1	1	1	1	10	42	4839	0.99605	0.09264	0.09264	2.33	393598	alg9	ENSDARG00000012840		0.587414	0.587414	0.587414		0.587414		0.297681	0.297681	0.297681		0.297681		1.15914	1.15914	1.15914		1.15914						0.587414	0.297681	1.15914	1	0	1	393598	ENSDARG00000012840	0.587414	0.587414		0.297681	0.297681		1.15914	1.15914		0.587414	0.297681	1.15914	0															0						Linear,1(1)	1.929970622062683	1.929970622062683	1.929970622062683	1.929970622062683	0.0	1.929970622062683	0.587414	0.587414	0.297681	0.297681	1.15914	1.15914	UP	1.0	0.0	0.0	
R-DRE-983712	Ion channel transport	44	65	2	0	0	1	1	1	2	0	0	11	65	4816	0.86305	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2990846	SUMOylation	77	123	1	1	0	1	1	0	1	0	0	11	123	4758	0.75548	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3108232	SUMO E3 ligases SUMOylate target proteins	73	117	1	1	0	1	1	0	1	0	0	11	117	4764	0.76601	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-177929	Signaling by EGFR	18	27	1	1	1	1	1	1	1	1	1	10	26	4855	0.99844	0.059122	0.059122	3.7	386967	stam	ENSDARG00000002127		0.0135395	0.0135395	0.0135395		0.0135395		0.00272404	0.00272404	0.00272404		0.00272404		0.0672966	0.0672966	0.0672966		0.0672966						0.0135395	0.00272404	0.0672966	0	1	0															1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(1)	2.76253080368042	2.76253080368042	2.76253080368042	2.76253080368042	0.0	2.76253080368042	0.0135395	0.0135395	0.00272404	0.00272404	0.0672966	0.0672966	DOWN	0.0	1.0	0.0	
R-DRE-182971	EGFR downregulation	10	18	1	1	1	1	1	1	1	1	1	10	17	4864	0.99931	0.039778	0.039778	5.56	386967	stam	ENSDARG00000002127		0.0135395	0.0135395	0.0135395		0.0135395		0.00272404	0.00272404	0.00272404		0.00272404		0.0672966	0.0672966	0.0672966		0.0672966		0.0	0.0135395			0.0135395	0.00272404	0.0672966	0	1	0															1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(1)	2.76253080368042	2.76253080368042	2.76253080368042	2.76253080368042	0.0	2.76253080368042	0.0135395	0.0135395	0.00272404	0.00272404	0.0672966	0.0672966	DOWN	0.0	1.0	0.0	
R-DRE-8856825	Cargo recognition for clathrin-mediated endocytosis	39	58	2	1	1	1	1	1	2	1	1	10	57	4824	0.99291	0.12307	0.12307	1.72	386967	stam	ENSDARG00000002127		0.0135395	0.0135395	0.0135395		0.0135395		0.00272404	0.00272404	0.00272404		0.00272404		0.0672966	0.0672966	0.0672966		0.0672966						0.0135395	0.00272404	0.0672966	0	1	0															1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(1)	2.76253080368042	2.76253080368042	2.76253080368042	2.76253080368042	0.0	2.76253080368042	0.0135395	0.0135395	0.00272404	0.00272404	0.0672966	0.0672966	DOWN	0.0	1.0	0.0	
R-DRE-9035034	RHOF GTPase cycle	17	22	1	0	0	0	0	0	1	0	0	11	22	4859	0.95158	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-216083	Integrin cell surface interactions	17	30	1	1	1	0	0	0	1	0	0	11	30	4851	0.93451	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8874081	MET activates PTK2 signaling	11	16	1	1	1	1	1	1	1	1	1	10	15	4866	0.99946	0.03543	0.03543	6.25	561679	col11a2	ENSDARG00000012422		0.412555	0.412555	0.412555		0.41255499999999995		0.246333	0.246333	0.246333		0.246333		0.690943	0.690943	0.690943		0.6909429999999999		0.0	0.412555			0.412555	0.246333	0.690943	1	0	1	561679	ENSDARG00000012422	0.412555	0.412555		0.246333	0.246333		0.690943	0.690943		0.412555	0.246333	0.690943	0															0						Linear,1(1)	1.8231637477874756	1.8231637477874756	1.8231637477874756	1.8231637477874756	0.0	1.8231637477874756	0.412555	0.412555	0.246333	0.246333	0.690943	0.690943	UP	1.0	0.0	0.0	
R-DRE-8875878	MET promotes cell motility	17	24	1	1	1	1	1	1	1	1	1	10	23	4858	0.99876	0.052714	0.052714	4.17	561679	col11a2	ENSDARG00000012422		0.412555	0.412555	0.412555		0.41255499999999995		0.246333	0.246333	0.246333		0.246333		0.690943	0.690943	0.690943		0.6909429999999999						0.412555	0.246333	0.690943	1	0	1	561679	ENSDARG00000012422	0.412555	0.412555		0.246333	0.246333		0.690943	0.690943		0.412555	0.246333	0.690943	0															0						Linear,1(1)	1.8231637477874756	1.8231637477874756	1.8231637477874756	1.8231637477874756	0.0	1.8231637477874756	0.412555	0.412555	0.246333	0.246333	0.690943	0.690943	UP	1.0	0.0	0.0	
R-DRE-5578775	Ion homeostasis	20	27	1	0	0	0	0	0	1	0	0	11	27	4854	0.94088	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-936837	Ion transport by P-type ATPases	15	20	1	0	0	0	0	0	1	0	0	11	20	4861	0.95589	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-181429	Serotonin Neurotransmitter Release Cycle	10	11	1	1	0	1	1	1	1	0	0	11	11	4870	0.97552	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-181430	Norepinephrine Neurotransmitter Release Cycle	8	10	1	1	0	1	1	1	1	0	0	11	10	4871	0.97772	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-210500	Glutamate Neurotransmitter Release Cycle	14	18	1	1	0	1	1	1	1	0	0	11	18	4863	0.96022	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-264642	Acetylcholine Neurotransmitter Release Cycle	10	11	1	1	0	1	1	1	1	0	0	11	11	4870	0.97552	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-388844	Receptor-type tyrosine-protein phosphatases	7	12	1	1	0	1	1	1	1	0	0	11	12	4869	0.97332	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9031628	NGF-stimulated transcription	3	5	1	1	1	0	0	0	1	0	0	11	5	4876	0.9888	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-200425	Carnitine metabolism	7	10	1	0	0	0	0	0	1	0	0	11	10	4871	0.97772	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9013424	RHOV GTPase cycle	15	21	1	0	0	0	0	0	1	0	0	11	21	4860	0.95373	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-4086400	PCP/CE pathway	46	66	1	1	1	1	1	1	1	1	1	10	65	4816	0.99088	0.13892	0.13892	1.52	30369	fzd7a	ENSDARG00000060004		0.560285	0.560285	0.560285		0.560285		0.291463	0.291463	0.291463		0.291463		1.07705	1.07705	1.07705		1.07705						0.560285	0.291463	1.07705	1	0	1	30369	ENSDARG00000060004	0.560285	0.560285		0.291463	0.291463		1.07705	1.07705		0.560285	0.291463	1.07705	0															0						Linear,1(1)	2.310438394546509	2.310438394546509	2.310438394546509	2.310438394546509	0.0	2.310438394546509	0.560285	0.560285	0.291463	0.291463	1.07705	1.07705	UP	1.0	0.0	0.0	
R-DRE-5625970	RHO GTPases activate KTN1	7	9	1	1	0	1	1	1	1	0	0	11	9	4872	0.97993	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3000171	Non-integrin membrane-ECM interactions	7	9	2	2	2	1	1	1	2	1	1	10	8	4873	0.99984	0.020072	0.020072	11.11	561679	col11a2	ENSDARG00000012422		0.412555	0.412555	0.412555		0.41255499999999995		0.246333	0.246333	0.246333		0.246333		0.690943	0.690943	0.690943		0.6909429999999999		0.0	0.412555	0.0	0.412555	0.412555	0.246333	0.690943	1	0	1	561679	ENSDARG00000012422	0.412555	0.412555		0.246333	0.246333		0.690943	0.690943		0.412555	0.246333	0.690943	0															0						Linear,1(1)	1.8231637477874756	1.8231637477874756	1.8231637477874756	1.8231637477874756	0.0	1.8231637477874756	0.412555	0.412555	0.246333	0.246333	0.690943	0.690943	UP	1.0	0.0	0.0	
R-DRE-6811434	COPI-dependent Golgi-to-ER retrograde traffic	32	57	2	2	0	2	2	2	2	0	0	11	57	4824	0.87893	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8856688	Golgi-to-ER retrograde transport	36	64	2	2	0	2	2	2	2	0	0	11	64	4817	0.86502	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-983189	Kinesins	22	31	2	2	0	2	2	2	2	0	0	11	31	4850	0.93239	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-73884	Base Excision Repair	20	38	1	1	0	1	1	0	1	0	0	11	38	4843	0.91772	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-73933	Resolution of Abasic Sites (AP sites)	11	19	1	1	0	1	1	0	1	0	0	11	19	4862	0.95806	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6805567	Keratinization	15	24	2	2	1	1	1	1	2	0	0	11	24	4857	0.94729	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-174824	Plasma lipoprotein assembly, remodeling, and clearance	26	33	1	1	1	0	0	0	1	0	0	11	33	4848	0.92818	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8964043	Plasma lipoprotein clearance	13	18	1	1	1	0	0	0	1	0	0	11	18	4863	0.96022	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2187338	Visual phototransduction	33	47	1	1	0	0	0	0	1	0	0	11	47	4834	0.89915	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9709957	Sensory Perception	37	71	1	1	0	0	0	0	1	0	0	11	71	4810	0.85131	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8848584	Wax and plasmalogen biosynthesis	3	5	1	1	0	0	0	0	1	0	0	11	5	4876	0.9888	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9640463	Wax biosynthesis	2	3	1	1	0	0	0	0	1	0	0	11	3	4878	0.99327	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6809371	Formation of the cornified envelope	15	24	2	2	1	1	1	1	2	0	0	11	24	4857	0.94729	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-75955	RNA Polymerase II Transcription Elongation	12	34	2	2	2	1	1	1	2	1	1	10	33	4848	0.99752	0.073922	0.073922	2.94	449949	ssrp1b	ENSDARG00000016994		0.461335	0.461335	0.461335		0.461335		0.263635	0.263635	0.263635		0.263635		0.807293	0.807293	0.807293		0.807293						0.461335	0.263635	0.807293	1	0	1	449949	ENSDARG00000016994	0.461335	0.461335		0.263635	0.263635		0.807293	0.807293		0.461335	0.263635	0.807293	0															0						Linear,1(1)	1.7943323850631714	1.7943323850631714	1.7943323850631714	1.7943323850631714	0.0	1.7943323850631714	0.461335	0.461335	0.263635	0.263635	0.807293	0.807293	UP	1.0	0.0	0.0	
R-DRE-8866654	E3 ubiquitin ligases ubiquitinate target proteins	20	30	1	1	0	1	1	0	1	0	0	11	30	4851	0.93451	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-212165	Epigenetic regulation of gene expression	39	61	1	0	0	0	0	0	1	0	0	11	61	4820	0.87095	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-212300	PRC2 methylates histones and DNA	25	39	1	0	0	0	0	0	1	0	0	11	39	4842	0.91564	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-73864	RNA Polymerase I Transcription	34	61	1	1	1	1	1	1	1	1	1	10	60	4821	0.99217	0.12905	0.12905	1.64	561082	cavin1b	ENSDARG00000059362		0.522871	0.522871	0.522871		0.522871		0.281995	0.281995	0.281995		0.281995		0.969497	0.969497	0.969497		0.9694970000000002						0.522871	0.281995	0.969497	1	0	1	561082	ENSDARG00000059362	0.522871	0.522871		0.281995	0.281995		0.969497	0.969497		0.522871	0.281995	0.969497	0															0						Linear,1(1)	2.0276551246643066	2.0276551246643066	2.0276551246643066	2.0276551246643066	0.0	2.0276551246643066	0.522871	0.522871	0.281995	0.281995	0.969497	0.969497	UP	1.0	0.0	0.0	
R-DRE-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	13	20	2	2	1	2	2	1	2	1	1	10	19	4862	0.99915	0.044107	0.044107	5.0	101886162	sprtn	ENSDARG00000104709		0.484364	0.484364	0.484364		0.484364		0.271058	0.271058	0.271058		0.271058		0.865529	0.865529	0.865529		0.865529		0.0	0.484364			0.484364	0.271058	0.865529	1	0	1	101886162	ENSDARG00000104709	0.484364	0.484364		0.271058	0.271058		0.865529	0.865529		0.484364	0.271058	0.865529	0															0						Linear,1(1)	2.6050593852996826	2.6050593852996826	2.6050593852996826	2.6050593852996826	0.0	2.6050593852996826	0.484364	0.484364	0.271058	0.271058	0.865529	0.865529	UP	1.0	0.0	0.0	
R-DRE-5656169	Termination of translesion DNA synthesis	9	15	1	1	0	1	1	0	1	0	0	11	15	4866	0.96675	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-73893	DNA Damage Bypass	15	25	2	2	1	2	2	1	2	1	1	10	24	4857	0.99866	0.054854	0.054854	4.0	101886162	sprtn	ENSDARG00000104709		0.484364	0.484364	0.484364		0.484364		0.271058	0.271058	0.271058		0.271058		0.865529	0.865529	0.865529		0.865529						0.484364	0.271058	0.865529	1	0	1	101886162	ENSDARG00000104709	0.484364	0.484364		0.271058	0.271058		0.865529	0.865529		0.484364	0.271058	0.865529	0															0						Linear,1(1)	2.6050593852996826	2.6050593852996826	2.6050593852996826	2.6050593852996826	0.0	2.6050593852996826	0.484364	0.484364	0.271058	0.271058	0.865529	0.865529	UP	1.0	0.0	0.0	
R-DRE-70171	Glycolysis	18	22	1	0	0	1	1	1	1	0	0	11	22	4859	0.95158	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-70326	Glucose metabolism	29	34	1	0	0	1	1	1	1	0	0	11	34	4847	0.92608	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2995410	Nuclear Envelope (NE) Reassembly	25	35	1	1	1	1	1	1	1	1	1	10	34	4847	0.99737	0.076019	0.076019	2.86	559297	ankle2	ENSDARG00000035607		0.467483	0.467483	0.467483		0.467483		0.26556	0.26556	0.26556		0.26556		0.82294	0.82294	0.82294		0.82294						0.467483	0.26556	0.82294	1	0	1	559297	ENSDARG00000035607	0.467483	0.467483		0.26556	0.26556		0.82294	0.82294		0.467483	0.26556	0.82294	0															0						Linear,1(1)	1.9808968305587769	1.9808968305587769	1.9808968305587769	1.9808968305587769	0.0	1.9808968305587769	0.467483	0.467483	0.26556	0.26556	0.82294	0.82294	UP	1.0	0.0	0.0	
R-DRE-3371571	HSF1-dependent transactivation	11	17	1	0	0	0	0	0	1	0	0	11	17	4864	0.96239	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-174411	Polymerase switching on the C-strand of the telomere	5	15	1	1	0	1	1	0	1	0	0	11	15	4866	0.96675	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-174417	Telomere C-strand (Lagging Strand) Synthesis	7	19	1	1	0	1	1	0	1	0	0	11	19	4862	0.95806	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2022857	Keratan sulfate degradation	2	6	1	0	0	1	1	0	1	0	0	11	6	4875	0.98658	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5689603	UCH proteinases	37	61	1	1	1	1	1	0	1	0	0	11	61	4820	0.87095	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5689901	Metalloprotease DUBs	11	20	1	1	1	1	1	1	1	1	1	10	19	4862	0.99915	0.044107	0.044107	5.0	386967	stam	ENSDARG00000002127		0.0135395	0.0135395	0.0135395		0.0135395		0.00272404	0.00272404	0.00272404		0.00272404		0.0672966	0.0672966	0.0672966		0.0672966		0.0	0.0135395			0.0135395	0.00272404	0.0672966	0	1	0															1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(1)	2.76253080368042	2.76253080368042	2.76253080368042	2.76253080368042	0.0	2.76253080368042	0.0135395	0.0135395	0.00272404	0.00272404	0.0672966	0.0672966	DOWN	0.0	1.0	0.0	
R-DRE-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	21	44	1	1	0	1	1	0	1	0	0	11	44	4837	0.9053	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6796648	TP53 Regulates Transcription of DNA Repair Genes	9	28	2	2	2	1	1	1	2	1	1	10	27	4854	0.99832	0.06125	0.06125	3.57	449949	ssrp1b	ENSDARG00000016994		0.461335	0.461335	0.461335		0.461335		0.263635	0.263635	0.263635		0.263635		0.807293	0.807293	0.807293		0.807293						0.461335	0.263635	0.807293	1	0	1	449949	ENSDARG00000016994	0.461335	0.461335		0.263635	0.263635		0.807293	0.807293		0.461335	0.263635	0.807293	0															0						Linear,1(1)	1.7943323850631714	1.7943323850631714	1.7943323850631714	1.7943323850631714	0.0	1.7943323850631714	0.461335	0.461335	0.263635	0.263635	0.807293	0.807293	UP	1.0	0.0	0.0	
R-DRE-6807505	RNA polymerase II transcribes snRNA genes	23	51	1	0	0	1	1	1	1	0	0	11	51	4830	0.89101	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9639288	Amino acids regulate mTORC1	21	36	1	0	0	1	1	1	1	0	0	11	36	4845	0.92189	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9711097	Cellular response to starvation	21	36	1	0	0	1	1	1	1	0	0	11	36	4845	0.92189	1.0	1.0	0.0																														0	0	0															0															0																							
