R-DRE-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	81	81	1	0	0	1	1	0	1	0	0	9	81	4812	0.86064	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9013148	CDC42 GTPase cycle	81	82	1	1	0	1	1	1	1	0	0	9	82	4811	0.85903	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-983231	Factors involved in megakaryocyte development and platelet production	75	83	3	2	0	3	3	3	3	0	0	9	83	4810	0.85743	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-375280	Amine ligand-binding receptors	20	55	2	2	0	2	2	2	2	0	0	9	55	4838	0.90336	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1474244	Extracellular matrix organization	112	129	1	1	0	1	1	1	1	0	0	9	129	4764	0.78646	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-111471	Apoptotic factor-mediated response	8	10	1	1	1	1	1	1	1	1	1	8	9	4884	0.99987	0.018226	0.018226	10.0	335722	gsdmeb	ENSDARG00000040485		0.384984	0.384984	0.384984		0.384984		0.219839	0.219839	0.219839		0.219839		0.674188	0.674188	0.674188		0.674188		0.0	0.384984	0.0	0.384984	0.219839	0.219839	0.674188	0.674188	0.384984	0.219839	0.674188	1	0	1	335722	ENSDARG00000040485	0.384984	0.384984		0.219839	0.219839		0.674188	0.674188		0.384984	0.219839	0.674188	0															0						Linear,1(1)	2.0227725505828857	2.0227725505828857	2.0227725505828857	2.0227725505828857	0.0	2.0227725505828857	0.384984	0.384984	0.219839	0.219839	0.674188	0.674188	UP	1.0	0.0	0.0	
R-DRE-5218859	Regulated Necrosis	18	21	2	2	2	2	2	2	2	2	2	7	19	4874	0.99999	6.1806E-4	6.1806E-4	9.52	565155;335722	hsp90aa1.2;gsdmeb	ENSDARG00000024746;ENSDARG00000040485		0.4058365	0.4058365	0.384984	0.02948988830938518	0.3956742002082	0.025750899758709263	0.2262725	0.2262725	0.219839	0.00909834295352822	0.22313718501567942	0.007944774659999897	0.728282	0.728282	0.674188	0.07650046844301096	0.7019197199406484	0.06680106325609371	0.5	0.4058365			0.2262725		0.728282		0.426689;0.384984	0.232706;0.219839	0.782376;0.674188	1	1	1	335722	ENSDARG00000040485	0.384984	0.384984		0.219839	0.219839		0.674188	0.674188		0.384984	0.219839	0.674188	1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,2(1)	1.8656686664543969	3.7435392141342163	1.7207666635513306	2.0227725505828857	0.21355041067827107	1.8717696070671082	0.3649656	0.4467074	0.21366284	0.23888215999999998	0.62225776	0.83430624	CONFLICT	0.5	0.5	0.0	
R-DRE-5620971	Pyroptosis	4	5	1	1	1	1	1	1	1	1	1	8	4	4889	0.99997	0.00915	0.00915	20.0	335722	gsdmeb	ENSDARG00000040485		0.384984	0.384984	0.384984		0.384984		0.219839	0.219839	0.219839		0.219839		0.674188	0.674188	0.674188		0.674188		0.0	0.384984	0.0	0.384984	0.219839	0.219839	0.674188	0.674188	0.384984	0.219839	0.674188	1	0	1	335722	ENSDARG00000040485	0.384984	0.384984		0.219839	0.219839		0.674188	0.674188		0.384984	0.219839	0.674188	0															0						Linear,1(1)	2.0227725505828857	2.0227725505828857	2.0227725505828857	2.0227725505828857	0.0	2.0227725505828857	0.384984	0.384984	0.219839	0.219839	0.674188	0.674188	UP	1.0	0.0	0.0	
R-DRE-6804756	Regulation of TP53 Activity through Phosphorylation	58	60	1	1	1	1	1	1	1	1	1	8	59	4834	0.99498	0.105	0.105	1.67	560212	top3a	ENSDARG00000052827		0.681507	0.681507	0.681507		0.681507		0.276456	0.276456	0.276456		0.276456		1.68002	1.68002	1.68002		1.68002										0.681507	0.276456	1.68002	0	1	0															1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(1)	1.538857340812683	1.538857340812683	1.538857340812683	1.538857340812683	0.0	1.538857340812683	0.681507	0.681507	0.276456	0.276456	1.68002	1.68002	DOWN	0.0	1.0	0.0	
R-DRE-5696395	Formation of Incision Complex in GG-NER	34	34	1	0	0	0	0	0	1	0	0	9	34	4859	0.93923	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5696398	Nucleotide Excision Repair	74	74	2	0	0	1	1	0	2	0	0	9	74	4819	0.87196	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	54	54	1	0	0	0	0	0	1	0	0	9	54	4839	0.90504	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	50	50	1	0	0	1	1	0	1	0	0	9	50	4843	0.91179	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-6782135	Dual incision in TC-NER	43	43	1	0	0	1	1	0	1	0	0	9	43	4850	0.92371	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-111885	Opioid Signalling	49	49	1	0	0	1	1	0	1	0	0	9	49	4844	0.91348	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-112314	Neurotransmitter receptors and postsynaptic signal transmission	79	81	1	0	0	1	1	1	1	0	0	9	81	4812	0.86064	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-195721	Signaling by WNT	177	199	2	2	0	2	2	2	2	0	0	9	199	4694	0.68846	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-3858494	Beta-catenin independent WNT signaling	90	93	2	2	0	2	2	2	2	0	0	9	93	4800	0.84153	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1483191	Synthesis of PC	15	16	1	0	0	1	1	1	1	0	0	9	16	4877	0.97098	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1483206	Glycerophospholipid biosynthesis	64	69	3	1	0	3	3	2	3	0	0	9	69	4824	0.88013	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1483257	Phospholipid metabolism	102	109	3	1	0	3	3	2	3	0	0	9	109	4784	0.81665	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-418555	G alpha (s) signalling events	70	113	1	0	0	1	1	0	1	0	0	9	113	4780	0.81053	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-73887	Death Receptor Signalling	73	78	1	1	0	1	1	1	1	0	0	9	78	4815	0.86547	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1296071	Potassium Channels	59	65	3	2	0	2	2	2	3	0	0	9	65	4828	0.88671	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1296072	Voltage gated Potassium channels	22	22	2	1	0	1	1	1	2	0	0	9	22	4871	0.96029	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-3371453	Regulation of HSF1-mediated heat shock response	45	45	1	1	1	1	1	1	1	1	1	8	44	4849	0.99715	0.079712	0.079712	2.22	335865	hspa4a	ENSDARG00000004754		0.587831	0.587831	0.587831		0.587831		0.266419	0.266419	0.266419		0.266419		1.297	1.297	1.297		1.297										0.587831	0.266419	1.297	0	1	0															1	335865	ENSDARG00000004754	0.587831	0.587831		0.266419	0.266419		1.297	1.297		0.587831	0.266419	1.297	0						Linear,1(1)	1.6334491968154907	1.6334491968154907	1.6334491968154907	1.6334491968154907	0.0	1.6334491968154907	0.587831	0.587831	0.266419	0.266419	1.297	1.297	DOWN	0.0	1.0	0.0	
R-DRE-3371556	Cellular response to heat stress	59	60	2	2	2	2	2	2	2	2	2	7	58	4835	0.99986	0.0050191	0.0050191	3.33	565155;335865	hsp90aa1.2;hspa4a	ENSDARG00000024746;ENSDARG00000004754		0.50726	0.50726	0.426689	0.11394460093396244	0.5057118281527399	0.11392356389203498	0.24956250000000002	0.24956250000000002	0.232706	0.023838690914141522	0.2492386023352901	0.02383428969165242	1.039688	1.039688	0.782376	0.36389412016134576	1.0347437496572933	0.3638269361456033									0.426689;0.587831	0.232706;0.266419	0.782376;1.297	0	2	0															2	565155;335865	ENSDARG00000024746;ENSDARG00000004754	0.50726	0.50726	0.11394460093396244	0.24956250000000002	0.24956250000000002	0.023838690914141522	1.039688	1.039688	0.36389412016134576	0.426689;0.587831	0.232706;0.266419	0.782376;1.297	0						Linear,2(1)	1.6765395684220499	3.3542158603668213	1.6334491968154907	1.7207666635513306	0.061742772844943145	1.6771079301834106	0.34934084000000004	0.6651791600000001	0.21652376	0.28260124000000003	0.53535648	1.54401952	DOWN	0.0	1.0	0.0	
R-DRE-1638074	Keratan sulfate/keratin metabolism	21	23	1	1	0	1	1	1	1	0	0	9	23	4870	0.95852	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-2022854	Keratan sulfate biosynthesis	19	21	1	1	0	1	1	1	1	0	0	9	21	4872	0.96207	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	22	23	1	1	1	1	1	1	1	1	1	8	22	4871	0.99926	0.041477	0.041477	4.35	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	99	101	2	2	0	2	2	2	2	0	0	9	101	4792	0.82901	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-425366	Transport of bile salts and organic acids, metal ions and amine compounds	35	39	1	1	0	1	1	1	1	0	0	9	39	4854	0.93058	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-425407	SLC-mediated transmembrane transport	110	121	1	1	0	1	1	1	1	0	0	9	121	4772	0.79841	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-674695	RNA Polymerase II Pre-transcription Events	48	48	1	0	0	1	1	0	1	0	0	9	48	4845	0.91518	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-73776	RNA Polymerase II Promoter Escape	34	34	1	0	0	1	1	0	1	0	0	9	34	4859	0.93923	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-73779	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	34	34	1	0	0	1	1	0	1	0	0	9	34	4859	0.93923	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-75953	RNA Polymerase II Transcription Initiation	34	34	1	0	0	1	1	0	1	0	0	9	34	4859	0.93923	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-76042	RNA Polymerase II Transcription Initiation And Promoter Clearance	34	34	1	0	0	1	1	0	1	0	0	9	34	4859	0.93923	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-451927	Interleukin-2 family signaling	12	17	1	0	0	0	0	0	1	0	0	9	17	4876	0.96919	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-373752	Netrin-1 signaling	19	19	1	1	0	1	1	1	1	0	0	9	19	4874	0.96562	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1483213	Synthesis of PE	6	6	1	0	0	1	1	1	1	0	0	9	6	4887	0.98903	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5686938	Regulation of TLR by endogenous ligand	5	6	1	1	1	1	1	1	1	1	1	8	5	4888	0.99996	0.010971	0.010971	16.67	335722	gsdmeb	ENSDARG00000040485		0.384984	0.384984	0.384984		0.384984		0.219839	0.219839	0.219839		0.219839		0.674188	0.674188	0.674188		0.674188		0.0	0.384984	0.0	0.384984	0.219839	0.219839	0.674188	0.674188	0.384984	0.219839	0.674188	1	0	1	335722	ENSDARG00000040485	0.384984	0.384984		0.219839	0.219839		0.674188	0.674188		0.384984	0.219839	0.674188	0															0						Linear,1(1)	2.0227725505828857	2.0227725505828857	2.0227725505828857	2.0227725505828857	0.0	2.0227725505828857	0.384984	0.384984	0.219839	0.219839	0.674188	0.674188	UP	1.0	0.0	0.0	
R-DRE-8856828	Clathrin-mediated endocytosis	80	84	1	1	0	1	1	1	1	0	0	9	84	4809	0.85583	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-111457	Release of apoptotic factors from the mitochondria	3	4	1	1	1	1	1	1	1	1	1	8	3	4890	0.99998	0.007326	0.007326	25.0	335722	gsdmeb	ENSDARG00000040485		0.384984	0.384984	0.384984		0.384984		0.219839	0.219839	0.219839		0.219839		0.674188	0.674188	0.674188		0.674188		0.0	0.384984	0.0	0.384984	0.219839	0.219839	0.674188	0.674188	0.384984	0.219839	0.674188	1	0	1	335722	ENSDARG00000040485	0.384984	0.384984		0.219839	0.219839		0.674188	0.674188		0.384984	0.219839	0.674188	0															0						Linear,1(1)	2.0227725505828857	2.0227725505828857	2.0227725505828857	2.0227725505828857	0.0	2.0227725505828857	0.384984	0.384984	0.219839	0.219839	0.674188	0.674188	UP	1.0	0.0	0.0	
R-DRE-1474290	Collagen formation	32	34	1	1	0	1	1	1	1	0	0	9	34	4859	0.93923	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1650814	Collagen biosynthesis and modifying enzymes	28	30	1	1	0	1	1	1	1	0	0	9	30	4863	0.94621	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-8951664	Neddylation	143	148	3	2	1	2	2	1	3	0	0	9	148	4745	0.75871	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-373080	Class B/2 (Secretin family receptors)	37	38	1	0	0	0	0	0	1	0	0	9	38	4855	0.9323	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	44	44	1	0	0	1	1	0	1	0	0	9	44	4849	0.922	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-72187	mRNA 3'-end processing	38	38	1	0	0	1	1	0	1	0	0	9	38	4855	0.9323	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-72202	Transport of Mature Transcript to Cytoplasm	44	44	1	0	0	1	1	0	1	0	0	9	44	4849	0.922	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-72203	Processing of Capped Intron-Containing Pre-mRNA	158	159	2	0	0	2	2	0	2	0	0	9	159	4734	0.74304	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-73856	RNA Polymerase II Transcription Termination	38	38	1	0	0	1	1	0	1	0	0	9	38	4855	0.9323	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1502540	Signaling by Activin	8	8	1	1	0	0	0	0	1	0	0	9	8	4885	0.9854	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-2473224	Antagonism of Activin by Follistatin	3	3	1	1	0	0	0	0	1	0	0	9	3	4890	0.9945	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9006936	Signaling by TGFB family members	58	60	1	1	0	0	0	0	1	0	0	9	60	4833	0.895	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-8957322	Metabolism of steroids	60	67	1	0	0	1	1	0	1	0	0	9	67	4826	0.88341	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-373755	Semaphorin interactions	29	30	1	1	1	1	1	1	1	1	1	8	29	4864	0.99873	0.053793	0.053793	3.33	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-8980692	RHOA GTPase cycle	77	77	2	1	0	1	1	1	2	0	0	9	77	4816	0.86709	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9696273	RND1 GTPase cycle	30	32	1	0	0	1	1	1	1	0	0	9	32	4861	0.94271	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-6791312	TP53 Regulates Transcription of Cell Cycle Genes	27	28	1	1	0	1	1	1	1	0	0	9	28	4865	0.94971	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-4085001	Sialic acid metabolism	16	17	1	1	0	1	1	1	1	0	0	9	17	4876	0.96919	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	41	43	2	2	1	2	2	2	2	1	1	8	42	4851	0.9974	0.076293	0.076293	2.33	553792	fpgt	ENSDARG00000042139		0.431302	0.431302	0.431302		0.431302		0.23429	0.23429	0.23429		0.23429		0.793979	0.793979	0.793979		0.7939790000000001										0.431302	0.23429	0.793979	0	1	0															1	553792	ENSDARG00000042139	0.431302	0.431302		0.23429	0.23429		0.793979	0.793979		0.431302	0.23429	0.793979	0						Linear,1(1)	1.697011113166809	1.697011113166809	1.697011113166809	1.697011113166809	0.0	1.697011113166809	0.431302	0.431302	0.23429	0.23429	0.793979	0.793979	DOWN	0.0	1.0	0.0	
R-DRE-446219	Synthesis of substrates in N-glycan biosythesis	36	37	2	2	1	2	2	2	2	1	1	8	36	4857	0.99807	0.065968	0.065968	2.7	553792	fpgt	ENSDARG00000042139		0.431302	0.431302	0.431302		0.431302		0.23429	0.23429	0.23429		0.23429		0.793979	0.793979	0.793979		0.7939790000000001										0.431302	0.23429	0.793979	0	1	0															1	553792	ENSDARG00000042139	0.431302	0.431302		0.23429	0.23429		0.793979	0.793979		0.431302	0.23429	0.793979	0						Linear,1(1)	1.697011113166809	1.697011113166809	1.697011113166809	1.697011113166809	0.0	1.697011113166809	0.431302	0.431302	0.23429	0.23429	0.793979	0.793979	DOWN	0.0	1.0	0.0	
R-DRE-983712	Ion channel transport	63	65	2	2	1	1	1	1	2	0	0	9	65	4828	0.88671	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-2990846	SUMOylation	118	123	1	0	0	0	0	0	1	0	0	9	123	4770	0.79541	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-3108232	SUMO E3 ligases SUMOylate target proteins	112	117	1	0	0	0	0	0	1	0	0	9	117	4776	0.80445	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	27	28	1	1	1	1	1	1	1	1	1	8	27	4866	0.99889	0.050289	0.050289	3.57	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-383280	Nuclear Receptor transcription pathway	33	37	2	2	0	2	2	2	2	0	0	9	37	4856	0.93403	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-4090294	SUMOylation of intracellular receptors	20	22	1	0	0	0	0	0	1	0	0	9	22	4871	0.96029	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-936837	Ion transport by P-type ATPases	20	20	1	1	0	1	1	1	1	0	0	9	20	4873	0.96384	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-72165	mRNA Splicing - Minor Pathway	43	43	1	0	0	1	1	0	1	0	0	9	43	4850	0.92371	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-72172	mRNA Splicing	128	129	2	0	0	2	2	0	2	0	0	9	129	4764	0.78646	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5358351	Signaling by Hedgehog	78	81	1	0	0	1	1	1	1	0	0	9	81	4812	0.86064	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-209952	Peptide hormone biosynthesis	3	6	1	0	0	1	1	0	1	0	0	9	6	4887	0.98903	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654687	Downstream signaling of activated FGFR1	22	23	1	0	0	1	1	1	1	0	0	9	23	4870	0.95852	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654693	FRS-mediated FGFR1 signaling	15	16	1	0	0	1	1	1	1	0	0	9	16	4877	0.97098	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654696	Downstream signaling of activated FGFR2	18	20	1	0	0	1	1	1	1	0	0	9	20	4873	0.96384	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654700	FRS-mediated FGFR2 signaling	14	16	1	0	0	1	1	1	1	0	0	9	16	4877	0.97098	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654736	Signaling by FGFR1	36	37	1	0	0	1	1	1	1	0	0	9	37	4856	0.93403	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654738	Signaling by FGFR2	52	54	2	0	0	2	2	1	2	0	0	9	54	4839	0.90504	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-72163	mRNA Splicing - Major Pathway	121	122	2	0	0	2	2	0	2	0	0	9	122	4771	0.79691	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-193704	p75 NTR receptor-mediated signalling	45	47	1	1	0	1	1	1	1	0	0	9	47	4846	0.91688	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-4086400	PCP/CE pathway	63	66	2	2	0	2	2	2	2	0	0	9	66	4827	0.88506	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-416482	G alpha (12/13) signalling events	43	45	1	1	0	1	1	1	1	0	0	9	45	4848	0.92029	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5625970	RHO GTPases activate KTN1	9	9	1	1	0	1	1	1	1	0	0	9	9	4884	0.98358	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5666185	RHO GTPases Activate Rhotekin and Rhophilins	4	4	1	0	0	0	0	0	1	0	0	9	4	4889	0.99267	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1852241	Organelle biogenesis and maintenance	120	122	1	1	1	1	1	1	1	1	1	8	121	4772	0.98027	0.20309	0.20309	0.82	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-2565942	Regulation of PLK1 Activity at G2/M Transition	46	46	1	1	1	1	1	1	1	1	1	8	45	4848	0.99703	0.081418	0.081418	2.17	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-3108214	SUMOylation of DNA damage response and repair proteins	49	52	1	0	0	0	0	0	1	0	0	9	52	4841	0.90841	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-380259	Loss of Nlp from mitotic centrosomes	41	41	1	1	1	1	1	1	1	1	1	8	40	4853	0.99763	0.072863	0.072863	2.44	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-380270	Recruitment of mitotic centrosome proteins and complexes	45	45	1	1	1	1	1	1	1	1	1	8	44	4849	0.99715	0.079712	0.079712	2.22	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-380284	Loss of proteins required for interphase microtubule organization from the centrosome	41	41	1	1	1	1	1	1	1	1	1	8	40	4853	0.99763	0.072863	0.072863	2.44	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-380287	Centrosome maturation	45	45	1	1	1	1	1	1	1	1	1	8	44	4849	0.99715	0.079712	0.079712	2.22	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-380320	Recruitment of NuMA to mitotic centrosomes	45	45	1	1	1	1	1	1	1	1	1	8	44	4849	0.99715	0.079712	0.079712	2.22	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
