ENSDARG00000079478	Linear		100004330	mvb12bb	1.01513	0.631108	1.63281	0.04010056612519841	-35.26022200192991	76.52044400385982	-1	1.6084885629717893	true	31.9746	-6.26933		
ENSDARG00000046142	Linear		100000463	asgrl1	0.766815	0.509342	1.15444	0.1935191187312194	-57.97012200192991	121.94024400385982	-1	1.5055012152934573	true	248.868	-37.7197		
ENSDARG00000099558	Linear		100616532	npc1l1	0.78642	0.519835	1.18972	0.8564854165880124	-74.12702200192992	154.25404400385983	-1	1.5128261852318523	true	559.774	-107.993		
ENSDARG00000041540	Linear		791732	sult1st2	0.866334	0.561108	1.33759	0.9809060261246608	-58.878422001929906	123.75684400385981	-1	1.5439701447849612	true	205.495	-35.4709		
ENSDARG00000018361	Linear		368270	sult1st3	1.59225	0.830942	3.05107	0.7330786345423985	-68.71632200192991	143.43264400385982	-1	1.916198723857983	true	361.804	-37.1863		
ENSDARG00000033594	Linear		571967	ido1	0.978547	0.615015	1.55696	0.017298260280780853	-49.45512200192991	104.91024400385982	-1	1.5910945261497687	true	102.992	-16.755		
ENSDARG00000098586	Linear		571819	zgc:194887	1.06467	0.652835	1.73631	0.6161978934982487	-45.25652200192991	96.51304400385982	-1	1.6308408709704594	true	81.2826	-11.6398		
ENSDARG00000024160	Linear		402827	hao1	0.84445	0.55001	1.29651	0.2008818698173671	-73.28742200192991	152.57484400385982	-1	1.535335721168706	true	682.163	-95.097		
ENSDARG00000075766	Linear		436632	sccpdha.1	0.983168	0.617019	1.5666	0.1766942751412096	-63.55662200192991	133.11324400385982	-1	1.5934160860524555	true	340.518	-42.695		
ENSDARG00000089320	Linear		557827	ccdc175	2.11803	0.928803	4.82993	0.08390871953873935	-35.07982200192991	76.15964400385982	1	2.280386691257457	true	20.531	2.96883		
ENSDARG00000074698	Linear		563642	sdsl	0.898376	0.576968	1.39883	0.958098859173735	-52.990122001929905	111.98024400385981	-1	1.5570638232969591	true	147.421	-23.1001		
ENSDARG00000056057	Linear		100002201	grem2a	5.84025	0.686315	49.6981	5.367603629791162E-5	-25.460822001929913	56.921644003859825	-1	8.509576506414692	true	11.5928	-0.567007		
ENSDARG00000097693	Linear		100001321	si:ch211-248a14.8	0.909295	0.582237	1.42007	0.675547567902097	-70.29822200192991	146.59644400385983	-1	1.5617265821306443	true	511.838	-72.3588		
ENSDARG00000017773	Linear		557762	slc16a12a	1.02827	0.637228	1.65929	0.11085371294511648	-59.910522001929905	125.82104400385981	-1	1.6136610443985513	true	234.47	-32.0135		
ENSDARG00000096445	Linear		560649	si:ch211-214p16.3	1.08771	0.662719	1.78523	0.44569277855382705	-97.62992200192991	201.25984400385983	-1	1.6412838623911492	true	3100.12	-374.129		
ENSDARG00000055240	Linear		560486	xdh	0.829194	0.542206	1.26808	0.10796121320403318	-68.95992200192991	143.91984400385982	-1	1.529296983065477	true	544.342	-72.5755		
ENSDARG00000098711	Linear				1.56105	0.822992	2.96099	0.11902666320623545	-46.80942200192991	99.61884400385982	1	1.896798510799619	true	47.5177	8.8046		
ENSDARG00000117001	Linear				0.899947	0.577699	1.40195	0.3517837069088552	-77.99252200192991	161.98504400385983	-1	1.5578129787311388	true	788.528	-122.11		
ENSDARG00000101667	Linear				1.30686	0.745161	2.29198	0.2821230593525563	-27.37852200192991	60.75704400385982	1	1.7537954884917488	true	15.6186	2.87946		
ENSDARG00000113737	Linear				1.87699	0.892164	3.94892	0.12982476676876809	-46.63952200192991	99.27904400385982	-1	2.1038620702023394	true	78.0055	-7.24007		
ENSDARG00000029890	Linear				1.29015	0.739905	2.24958	0.1254133407194521	-34.22142200192991	74.44284400385982	-1	1.7436697954467126	true	35.0489	-4.60284		
ENSDARG00000071876	Linear		678542	rell2	1.54889	0.820465	2.92402	0.2799790268771378	-36.01272200192991	78.02544400385982	1	1.8878197119925897	true	28.4843	4.32025		
ENSDARG00000104214	Hill		796866	cr381540.3	0.00115198	4.02835E-5	0.0329431	0.9984908911472328	-24.43762200192991	58.87524400385982	-1	28.59682003798081	0	14.1682	-7.91458	1.0	0.00179569	true	
ENSDARG00000100360	Linear		100150195	cx31.7	1.59285	0.831955	3.04967	0.07241591797631763	-23.99632200192991	53.99264400385982	1	1.914586726445541	true	7.77588	1.88556		
ENSDARG00000079125	Linear		101882405	sowahab	1.54539	0.818465	2.91796	0.14044400089267983	-43.14732200192991	92.29464400385982	1	1.888156488059966	true	59.4314	6.96717		
ENSDARG00000105348	Hill		100538111	si:ch211-277c7.7	0.0018797	4.32018E-5	0.0817856	0.9595266015196673	-23.198022001929914	56.39604400385983	1	43.50976116735877	0	2.12976	6.59489	1.0	0.00247334	true	
ENSDARG00000105416	Linear		793963	adgrg4a	1.03883	0.641859	1.68131	0.8708965052543404	-68.6691220019299	143.3382440038598	-1	1.618470723320854	true	446.471	-56.8176		
ENSDARG00000010097	Linear		359826	f9a	1.81715	0.880639	3.74958	0.014281663390827926	-22.32462200192991	50.64924400385982	-1	2.0634448394858733	true	10.7739	-1.47851		
ENSDARG00000034559	Linear		100332730	srpx2	4.58552	0.848093	24.7933	0.023305842162953727	-20.406022001929912	46.812044003859825	-1	5.406859860887898	true	6.52269	-0.515558		
ENSDARG00000088366	Linear		402939	zgc:77938	0.896244	0.575866	1.39486	0.3994926763848774	-71.26642200192991	148.53284400385982	-1	1.5563412321616488	true	593.971	-78.3072		
ENSDARG00000071429	Power		100008541	tdo2a	2.76589	8.35688E-5	91543.4	0.008842530187640474	-82.79742200192992	173.59484400385983	-1	33097.160662831106	1715.57	-2.16562E-6	17.7543	true		
ENSDARG00000113607	Exp 5		566937	bend4	0.00694021	9.12926E-5	0.527605	0.398512976631084	-25.583122001929908	61.166244003859816	-1	76.02160525606676	true	14.558	33.3333	0.4550695566302688	0.413162		
ENSDARG00000059944	Linear		572041	c1qtnf2	3.42208	0.953246	12.285	0.10635154336502961	-26.46712200192991	58.93424400385982	-1	3.589923272691414	true	15.8364	-1.03482		
ENSDARG00000105411	Linear		334459	si:ch211-113d11.5	1.56914	0.824941	2.98469	0.01629558435038736	-83.6288220019299	173.2576440038598	-1	1.902123909467465	true	750.798	-101.975		
ENSDARG00000105351	Linear		108192189	si:ch211-113d11.6	0.858716	0.557225	1.32333	0.7742745612663509	-54.70692200192991	115.41384400385982	-1	1.5410579209475528	true	145.023	-27.0975		
ENSDARG00000098535	Hill		101887093	bx004823.1	6.66115E-4	4.84909E-72	9.15036E64	0.9675005396194302	-23.89952200192991	57.79904400385982	1	1.3736907337252967E68	0	6.86914	6.78881	17.9997	6.75166E-4	true	
ENSDARG00000068586	Linear		100536704	cu302253.1	0.845362	0.550474	1.29822	0.7045973773606871	-77.47572200192991	160.95144400385982	-1	1.5356983254431633	true	872.853	-125.592		
ENSDARG00000068515	Linear		322468	chs1	0.87554	0.565666	1.35516	0.6079962582834504	-90.23392200192991	186.46784400385982	-1	1.5478038277004451	true	1900.81	-283.861		
ENSDARG00000014031	Linear		393561	abcc2	1.00053	0.624858	1.60207	0.9009952599011419	-102.46592200192991	210.93184400385982	-1	1.6012117953198965	true	3471.3	-561.441		
ENSDARG00000031278	Linear				1.19829	0.70663	2.03205	0.5072921265292324	-53.17902200192991	112.35804400385982	-1	1.695781384883178	true	111.434	-17.538		
ENSDARG00000101175	Linear		768182	mcu	3.58568	0.946206	13.5881	0.003996654340695849	-44.94972200192991	95.89944400385983	-1	3.7895342029114167	true	70.7001	-3.38616		
ENSDARG00000076487	Linear		492518	haao	0.792465	0.523074	1.2006	0.8615750312627022	-66.86952200192991	139.73904400385982	-1	1.5150150839078216	true	471.424	-66.0609		
ENSDARG00000092071	Linear		555902	si:ch211-117n7.6	1.02123	0.634177	1.6445	0.026880760254110125	-46.21372200192991	98.42744400385982	-1	1.6103233009081062	true	86.3485	-12.9347		
ENSDARG00000017165	Linear		557757	slc3a1	0.764301	0.508004	1.1499	0.773550805973579	-60.83812200192992	127.67624400385984	-1	1.504517680963142	true	380.53	-45.8175		
ENSDARG00000063078	Linear		557317	abcg5	1.02951	0.637822	1.66172	0.4595619957392605	-51.662922001929914	109.32584400385983	-1	1.6141023671180987	true	115.023	-18.451		
ENSDARG00000091211	Linear		322482	adh8a	1.5647	0.823656	2.97245	0.5132492769698525	-41.17382200192991	88.34764400385983	-1	1.8997008459842457	true	37.583	-6.0329		
ENSDARG00000016412	Linear		322485	agt	1.04031	0.642452	1.68456	0.39017815054474225	-74.56712200192992	155.13424400385983	-1	1.619280506559245	true	614.45	-84.0678		
ENSDARG00000039423	Linear				1.01421	0.630973	1.63023	0.9581369090792146	-77.25732200192991	160.51464400385981	-1	1.6073746420211326	true	785.284	-103.17		
ENSDARG00000092448	Linear				1.8789	0.892318	3.95627	0.4124278891556561	-40.56522200192991	87.13044400385982	1	2.1056394693371647	true	48.9489	4.82429		
ENSDARG00000117566	Hill				0.00122887	1.14774E-4	0.0131573	0.920290478975838	-18.11162200192991	46.22324400385982	1	10.706867408995068	0	2.76188	6.56671	1.0	0.00274868	true	
ENSDARG00000075225	Linear		101884554	si:ch211-223a10.1	1.38211	0.770751	2.47841	0.4063145318574243	-45.05502200192991	96.11004400385983	1	1.7931991006174497	true	50.3922	8.84679		
ENSDARG00000017254	Linear		561206	kcnk1b	2.20625	0.939518	5.1809	0.06602932119803395	-44.054422001929915	94.10884400385983	-1	2.348278585402302	true	51.9517	-5.18447		
ENSDARG00000002509	Linear		768172	zgc:153911	1.41361	0.781454	2.55714	0.24030170403892293	-35.17542200192991	76.35084400385982	1	1.80894844738142	true	23.7234	4.47668		
ENSDARG00000002197	Linear				0.799912	0.526957	1.21425	0.21920707045790522	-82.42152200192992	170.84304400385983	-1	1.5179834407741049	true	1062.35	-184.568		
ENSDARG00000009160	Linear		368242	kmo	0.567153	0.394182	0.816027	0.27974936167982545	-57.72122200192992	121.44244400385983	-1	1.4388099913238048	true	405.122	-50.1595		
ENSDARG00000007561	Hill		407978	cdh23	0.00910129	5.43495E-29	1.52409E24	0.3284849744731151	-26.756222001929913	63.51244400385983	1	1.674585782757891E26	0	15.872	8.21197	18.0	0.00922485	true	
ENSDARG00000039747	Linear				1.22465	0.716965	2.09182	0.3552861604870957	-35.158022001929915	76.31604400385983	-1	1.7081029059995956	true	24.8643	-5.16143		
ENSDARG00000109262	Linear				1.06584	0.653049	1.73957	0.4104671579000597	-22.83852200192991	51.67704400385982	-1	1.6320980508353888	true	15.7862	-2.60857		
ENSDARG00000059891	Linear		562831	al929217.1	1.52901	0.814294	2.87106	0.06134884557938425	-45.87752200192991	97.75504400385982	-1	1.8777124723994036	true	68.8669	-8.44758		
ENSDARG00000109902	Power		393341	tmem254	2.7798	5.90595E-4	13083.9	1.4719477261759817E-4	-52.741822001929904	113.48364400385981	-1	4706.778757016229	238.033	-2.16209E-7	17.9612	true		
ENSDARG00000104569	Linear				0.814037	0.534386	1.24003	0.7398454727548134	-60.52902200192992	127.05804400385983	-1	1.52331273648636	true	174.909	-42.1408		
ENSDARG00000101629	Linear				0.543754	0.379678	0.778734	0.6400507886851661	-88.10392200192992	182.20784400385983	-1	1.432145133507867	true	2118.49	-396.561		
ENSDARG00000117660	Linear				1.27953	0.736618	2.22258	0.03530111247500145	-23.935822001929914	53.87164400385983	-1	1.7370333062727221	true	11.0622	-2.33784		
ENSDARG00000098315	Linear		140634	cyp1a	0.959257	0.605977	1.5185	0.8237382276742663	-74.09552200192991	154.19104400385982	-1	1.582992423804864	true	720.961	-88.3493		
ENSDARG00000077231	Exp 5		570643	vwf	0.003424	7.44192E-6	1.57537	0.18082692075539297	-37.02792200192991	84.05584400385982	-1	460.0963192294461	true	35.5943	33.3333	0.4517280226756599	0.360673		
ENSDARG00000117675	Linear				1.70824	0.858186	3.4003	0.31081101927181265	-38.70752200192991	83.41504400385982	1	1.9905241987168283	true	36.6694	4.68815		
ENSDARG00000013775	Linear		559426	si:dkey-246g23.4	1.22864	0.718319	2.10151	0.3537571981807365	-44.489122001929914	94.97824400385983	-1	1.7104378416831518	true	70.8192	-9.58345		
ENSDARG00000041569	Power		566132	ces2a	2.74067	2.56055E-5	293345.0	0.45514568897305707	-110.13792200192991	228.27584400385982	-1	107034.42619749664	8763.31	-1.23199E-5	17.9992	true		
ENSDARG00000030872	Linear		492488	cetp	1.30895	0.746602	2.29487	0.22638817698291447	-67.77712200192991	141.55424400385982	-1	1.7532098762124935	true	290.253	-42.4891		
ENSDARG00000041083	Linear		558452	anpepa	0.861158	0.558469	1.3279	0.5825128268844124	-71.39972200192992	148.79944400385983	-1	1.5419978548495976	true	637.539	-82.2251		
ENSDARG00000093393	Linear				3.62083	0.942746	13.9066	0.0019767429557294713	-29.088222001929914	64.17644400385983	1	3.8407269826655326	true	16.5291	1.16475		
ENSDARG00000060879	Linear		571287	slc28a1	0.6933	0.468672	1.02559	0.31131589162480666	-66.41622200192991	138.83244400385982	-1	1.4792861532158952	true	354.826	-73.2619		
ENSDARG00000093977	Linear		100536354	si:ch211-220f16.1	1.18751	0.703178	2.00544	0.8527171319605519	-19.53332200192991	45.06664400385982	1	1.688775814943016	true	6.71724	1.87829		
ENSDARG00000100719	Linear		751742	uraha	1.48341	0.801495	2.7455	0.2656406024964181	-45.707022001929914	97.41404400385983	-1	1.8508038103793536	true	81.0149	-8.60888		
ENSDARG00000100451	Linear		570726	olfcs2	1.43894	0.787149	2.63042	0.3051563091554973	-25.802922001929915	57.60584400385983	-1	1.8280401804486828	true	13.4872	-2.35441		
ENSDARG00000099773	Linear		100148438	olfcg4	1.23426	0.718187	2.12119	0.17051291295565962	-17.544322001929906	41.08864400385981	-1	1.7185774735549375	true	11.1116	-1.58272		
ENSDARG00000104016	Linear		567193	si:dkey-151j17.4	1.45135	0.792575	2.65769	0.5968710362236611	-48.41832200192991	102.83664400385982	1	1.8311831687852882	true	68.5367	10.5423		
ENSDARG00000112431	Linear				1.74298	0.866092	3.5077	0.17198762810015522	-39.66932200192991	85.33864400385983	-1	2.01246518845573	true	51.4547	-4.89896		
ENSDARG00000037359	Linear		101886304	si:ch1073-272o11.3	1.38604	0.773114	2.4849	0.3924276090258918	-36.57362200192991	79.14724400385983	-1	1.792801579068546	true	44.3376	-5.01178		
ENSDARG00000099525	Exp 3		563241	si:ch1073-13h15.3	2.49604	6.55186E-4	9509.1	0.39555260725639774	-72.34642200192991	152.69284400385982	-1	3809.666262710131	true	-1.0	530.223	0.327033	9.23436		
ENSDARG00000079166	Linear		565980	ace	1.10333	0.6692	1.81909	0.997739381889767	-105.58792200192991	217.17584400385982	-1	1.6487298266586967	true	3857.22	-626.948		
ENSDARG00000031616	Linear		445118	g6pca.1	1.12741	0.679033	1.87186	0.24659473498978812	-68.15732200192991	142.31464400385983	-1	1.6603169507225717	true	341.49	-50.5974		
ENSDARG00000002968	Linear		562916	a1cf	0.784261	0.518677	1.18584	0.37771674643218456	-65.68122200192991	137.36244400385982	-1	1.5120412125465366	true	331.923	-61.6679		
ENSDARG00000076980	Linear		794494	ppp1r16a	1.33517	0.755275	2.36029	0.006819762912401162	-42.80992200192991	91.61984400385982	-1	1.7677931879116877	true	70.9767	-7.8848		
ENSDARG00000096722	Linear				0.777413	0.514978	1.17359	0.4469988995746148	-48.23752200192991	102.47504400385982	-1	1.5096042937756564	true	112.154	-19.4455		
ENSDARG00000045144	Linear		563335	zgc:163057	1.19359	0.704912	2.02106	0.6519757184697911	-35.83242200192991	77.66484400385983	1	1.693246816623919	true	24.402	5.53924		
ENSDARG00000045143	Linear		405772	hbbe2	1.00296	0.625952	1.60704	0.4745686274866	-101.89892200192992	209.79784400385984	1	1.6022953836715916	true	2466.23	539.332		
ENSDARG00000071592	Linear		563130	aqp8a.2	0.643874	0.440201	0.941783	0.7931224927889211	-67.97162200192992	141.94324400385983	-1	1.462681820350249	true	620.911	-87.5046		
ENSDARG00000071306	Linear		790901	gip	1.68189	0.851686	3.32136	0.0038124335280769195	-37.01442200192991	80.02884400385982	-1	1.9747770892089338	true	24.02	-4.25338		
ENSDARG00000019492	Linear		322604	shbg	0.995582	0.622627	1.59194	0.6485557698416378	-71.4709220019299	148.9418440038598	-1	1.599002291901893	true	574.493	-71.4614		
ENSDARG00000096739	Linear		797371	si:dkey-219e21.2	1.15525	0.690155	1.93379	0.6721988252874957	-82.95582200192992	171.91164400385983	-1	1.6738993414522827	true	873.335	-132.432		
ENSDARG00000045070	Hill		100001836	itgb3b	0.00211916	6.15006E-18	7.30209E11	0.7401780535143703	-20.981422001929914	51.96284400385983	-1	3.44575500076422E14	0	17.2669	-6.52483	11.4685	0.00221445	true	
ENSDARG00000096808	Linear		100334236	si:dkey-287g12.6	1.36709	0.766164	2.43935	0.25211716889358127	-48.79322200192991	103.58644400385982	1	1.7843307699134912	true	104.405	11.4753		
ENSDARG00000075931	Linear		447860	acsl5	0.731941	0.49031	1.09265	0.8580569328201189	-88.0989220019299	182.1978440038598	-1	1.49281271032612	true	1748.14	-294.501		
ENSDARG00000057498	Linear		553472	habp2	1.17465	0.69777	1.97744	0.00300875672130152	-65.18382200192991	136.36764400385982	-1	1.6834343694913796	true	320.318	-39.83		
ENSDARG00000061011	Hill		557886	hlfb	0.00259312	2.8523E-8	235.75	0.9363044703356541	-45.68632200192991	101.37264400385982	-1	90913.2980401781	0	90.0501	-24.5214	9.66952	0.00257167	true	
ENSDARG00000045038	Linear		572368	tekt3	1.00752	0.627966	1.61647	0.2745362872417032	-29.04032200192991	64.08064400385982	1	1.6044180735899713	true	30.1185	4.17258		
ENSDARG00000104566	Linear		353313	foxi1	1.7413	0.865073	3.50507	0.3087486354466349	-26.967522001929915	59.93504400385983	1	2.012893709548212	true	11.5969	2.10266		
ENSDARG00000091560	Linear		100334171	slc6a19a.2	0.727611	0.487915	1.08506	0.9258632798427153	-91.13892200192991	188.27784400385983	-1	1.4912658967238146	true	1855.81	-362.826		
ENSDARG00000117378	Linear				0.977852	0.614631	1.55572	0.11917160401103954	-43.25962200192991	92.51924400385982	-1	1.5909578267285573	true	62.0001	-11.0936		
ENSDARG00000063215	Hill		100037364	lrrc3b	6.53963E-4	4.98708E-36	8.57552E28	0.39934304396353015	-32.93292200192991	75.86584400385982	-1	1.3113144365039263E32	0	28.7196	-11.711	18.0	6.59029E-4	true	
ENSDARG00000023082	Exp 5		664718	krt1-19d	0.0287484	7.86407E-5	10.5094	0.9999991293242222	-82.61272200192991	175.22544400385982	-1	365.56643061417304	true	1442.01	2.26023	0.5996632687848883	0.440674		
ENSDARG00000031885	Linear		64279	psmb12	1.61047	0.833771	3.1107	0.21681195875495896	-22.25202200192991	50.50404400385982	1	1.9315495501762474	true	6.225	1.66021		
ENSDARG00000075958	Linear		100006223	si:dkey-266f7.9	1.17762	0.699422	1.98275	0.07858093952441869	-31.17902200192991	68.35804400385982	-1	1.6837045446096919	true	28.8514	-4.11693		
ENSDARG00000070960	Linear		795729	si:ch211-288g17.4	0.784722	0.518959	1.18658	0.12737446619391257	-58.05942200192992	122.11884400385983	-1	1.5121078929163962	true	212.323	-37.0791		
ENSDARG00000040004	Hill		569167	pkhd1l1	0.0344672	1.32329E-4	8.97755	0.8251860115411738	-57.93772200192991	125.87544400385983	1	260.4659598425137	0	169.576	58.7017	15.1953	0.0345429	true	
ENSDARG00000035882	Linear		436849	rida	0.804171	0.529198	1.22202	0.39605578574927747	-78.70142200192991	163.40284400385983	-1	1.5196032486895266	true	1180.34	-143.266		
ENSDARG00000095638	Linear		557830	si:dkey-284p5.3	0.6431	0.439725	0.940539	0.708303033227994	-37.44922200192991	80.89844400385982	1	1.4625049747000967	true	28.3787	11.4509		
ENSDARG00000101785	Linear		100151049	laptm5	1.44139	0.789418	2.63182	0.06138712519562062	-41.80792200192991	89.61584400385982	1	1.8258894527360663	true	56.3238	6.83181		
ENSDARG00000099981	Linear				1.65999	0.8471	3.25295	0.5447843662395487	-38.68692200192991	83.37384400385982	1	1.959615157596506	true	23.2853	4.81778		
ENSDARG00000068493	Linear				1.01241	0.630364	1.62599	0.23862737831958702	-41.135522001929914	88.27104400385983	-1	1.6060720472615821	true	48.993	-9.30021		
ENSDARG00000101324	none	100101640	apoa1b
ENSDARG00000090943	Linear		100002960	cabz01033205.1	1.17115	0.696311	1.9698	0.18912997769656448	-62.87022200192992	131.74044400385984	-1	1.681935227218872	true	223.673	-34.2388		
ENSDARG00000070038	Linear		568032	rbp2a	1.01289	0.630397	1.62747	0.9443423222162555	-109.16792200192991	224.33584400385982	-1	1.6067493976018288	true	6808.09	-867.018		
ENSDARG00000042379	Linear		449773	tmem120a	0.899919	0.577655	1.40197	0.7459141122083608	-56.59262200192991	119.18524400385982	-1	1.5578831655572962	true	212.718	-29.3206		
ENSDARG00000069744	Linear		795517	mos	1.39831	0.776296	2.51872	0.1301172917932819	-30.11552200192991	66.23104400385982	-1	1.801258798190381	true	17.5582	-3.22986		
ENSDARG00000056314	Linear		100006972	sb:cb37	0.91867	0.586762	1.43833	0.0345869382927978	-83.97552200192992	173.95104400385983	-1	1.5656603529199231	true	1250.51	-178.251		
ENSDARG00000041645	Linear		100006972	sb:cb37	1.0116	0.629824	1.62478	0.718948500563387	-85.05242200192991	176.10484400385982	-1	1.6061629915658977	true	1051.13	-173.927		
ENSDARG00000078757	Linear		108179231	si:ch211-212c13.8	0.626629	0.430032	0.913103	0.09831403293158625	-73.01332200192991	152.02664400385981	-1	1.4571683037541392	true	800.966	-125.833		
ENSDARG00000077872	Linear		100006895	cr626907.1	0.70718	0.476513	1.0495	0.2207556969085689	-64.86052200192991	135.72104400385982	-1	1.4840728374671834	true	298.908	-64.7481		
ENSDARG00000041685	Linear		100006782	si:dkey-105h12.2	0.933186	0.593721	1.46674	0.13839956874412473	-72.9037220019299	151.8074440038598	-1	1.571758452202297	true	543.682	-83.8812		
ENSDARG00000040568	Linear		557269	pdzd3a	0.801837	0.528001	1.21769	0.11808863856045582	-48.85372200192991	103.70744400385982	-1	1.518627805629156	true	114.944	-19.6439		
ENSDARG00000055493	Linear		436585	hic1	1.33548	0.756075	2.35891	0.09685951310370611	-37.86422200192991	81.72844400385982	-1	1.7663327050887807	true	64.441	-5.66886		
ENSDARG00000061383	Linear		563663	serpinf2b	0.736179	0.492655	1.10008	0.015187431284577668	-72.58682200192992	151.17364400385983	-1	1.4943094051618273	true	791.988	-104.106		
ENSDARG00000055388	Linear		553699	vtna	0.840318	0.547908	1.28878	0.012448863400904564	-65.27162200192991	136.54324400385983	-1	1.5336844871766795	true	374.76	-56.0035		
ENSDARG00000087736	Hill		101882478	si:dkey-118k5.3	9.12586E-4	2.73901E-5	0.0304056	0.9719488281674131	-16.086722001929907	42.173444003859814	-1	33.31809668456851	0	9.80257	-4.79747	1.0	0.00155729	true	
ENSDARG00000089444	Hill		101882436	omgb	6.34681E-4	4.83931E-36	8.32392E28	0.10137023895866071	-20.28392200192991	50.56784400385982	-1	1.3115113518249504E32	0	21.4441	-6.85641	18.0	6.58178E-4	true	
ENSDARG00000099361	Linear		564083	si:dkey-30e9.6	1.15731	0.691046	1.93817	0.7838856629944166	-31.17092200192991	68.34184400385982	1	1.6747220879652005	true	10.1164	4.1869		
ENSDARG00000068883	Linear		798836	tspan13a	0.804622	0.52942	1.22288	0.14658630910636294	-61.047822001929916	128.09564400385983	-1	1.5198179139435608	true	347.41	-44.1342		
ENSDARG00000054136	Linear		565570	ccdc105	1.52936	0.814957	2.87001	0.006803945116910182	-35.02202200192991	76.04404400385982	1	1.8766143489779215	true	24.6661	4.09575		
ENSDARG00000006447	Linear		557854	slc19a3a	0.997461	0.623538	1.59562	0.6558126058136803	-34.35592200192991	74.71184400385982	-1	1.5996795704511995	true	36.7595	-6.00705		
ENSDARG00000117594	Hill				0.00400747	4.82098E-17	3.33124E11	0.2844045048390893	-13.876322001929909	37.752644003859814	-1	8.31256300586188E13	0	7.78929	-3.31414	14.4993	0.00405027	true	
ENSDARG00000098063	Linear		100330410	alp3	0.919022	0.586928	1.43902	0.31650728534652295	-74.73042200192991	155.46084400385982	-1	1.565817272305973	true	478.808	-96.2041		
ENSDARG00000077316	Linear		556707	mb21d2	1.63866	0.842794	3.18607	0.5013877416272858	-37.693322001929914	81.38664400385983	-1	1.94431854047371	true	45.1263	-4.56772		
ENSDARG00000059044	Linear		100535304	epm2a	3.28581	0.963221	11.2088	0.002485436140211017	-41.309122001929914	88.61824400385983	1	3.411273217672788	true	41.8365	2.8989		
ENSDARG00000079532	Linear		100005854	zgc:194242	1.69889	0.857396	3.36627	0.012481024812889374	-36.373122001929914	78.74624400385983	-1	1.9814531441714214	true	28.7396	-4.03457		
ENSDARG00000117613	Linear				1.73751	0.864691	3.49134	0.11034247257503849	-47.52192200192991	101.04384400385982	1	2.009399889671571	true	47.6293	8.2952		
ENSDARG00000017821	Linear		30482	gata5	0.962093	0.607324	1.5241	0.2849347187227944	-50.31692200192991	106.63384400385982	-1	1.5841511285574092	true	152.542	-18.0493		
ENSDARG00000021573	Linear		641419	slc16a7	0.85766	0.556606	1.32155	0.2037480625315995	-48.45072200192991	102.90144400385982	-1	1.5408745144680436	true	84.7033	-17.8785		
ENSDARG00000071055	Linear		101885988	znf512b	1.615	0.835903	3.12023	0.02598864676725654	-35.97332200192991	77.94664400385982	-1	1.9320423541965994	true	47.3036	-4.13253		
ENSDARG00000059956	Linear		767734	ptk6b	0.888323	0.571975	1.37964	0.4817957006143454	-55.47662200192991	116.95324400385982	-1	1.5530801171379867	true	216.643	-27.5737		
ENSDARG00000101461	Linear		560722	emp3b	1.84944	0.887508	3.85395	0.2096651823251413	-34.92392200192991	75.84784400385982	1	2.0838572722724753	true	28.3781	3.36483		
ENSDARG00000077875	Linear				0.586418	0.405925	0.847168	0.5426628485399061	-35.089522001929915	76.17904400385983	-1	1.4446461784812465	true	57.4239	-10.7298		
ENSDARG00000007988	Linear		560277	masp2	0.882736	0.569176	1.36904	0.057189606501617196	-52.28762200192992	110.57524400385984	-1	1.5509016543213345	true	129.16	-22.4339		
ENSDARG00000000887	Linear		405758	zgc:56699	0.846183	0.550899	1.29974	0.49408153832351287	-34.43312200192991	74.86624400385982	1	1.5360038772987425	true	47.6164	7.11755		
ENSDARG00000088040	Linear		557652	si:dkeyp-27c8.2	1.38798	0.772975	2.49229	0.6901394472681421	-40.92132200192991	87.84264400385982	1	1.7956337527086905	true	51.3479	6.68751		
ENSDARG00000102805	Linear		555510	cyp2aa12	0.815194	0.53495	1.24225	0.3662372147068583	-67.46292200192991	140.92584400385982	-1	1.5238695205159358	true	403.819	-66.8103		
ENSDARG00000099003	Linear		572000	cyp2aa1	0.760722	0.506031	1.1436	0.7189012568771493	-55.592322001929915	117.18464400385983	-1	1.5033110619705117	true	265.93	-32.448		
ENSDARG00000104811	Linear		768294	cyp2aa2	1.30822	0.746011	2.29411	0.6468944810728299	-37.96782200192991	81.93564400385982	-1	1.7536202549292168	true	44.7699	-5.82712		
ENSDARG00000054218	Linear		100002437	si:ch73-269m23.5	1.05081	0.647216	1.70608	0.5075963383875459	-48.50382200192991	103.00764400385982	-1	1.6235847074237968	true	102.574	-14.644		
ENSDARG00000095963	Linear		101882127	asgrl2	1.05459	0.648651	1.71459	0.2925399940997969	-70.20222200192991	146.40444400385982	-1	1.625820356401208	true	527.627	-61.9911		
ENSDARG00000077799	Hill		795099	egr4	0.00366685	5.23526E-4	0.0256831	0.999000145402826	-71.75542200192992	153.51084400385983	1	7.00414115058278	0	231.343	261.046	1.0	0.00953473	true	
ENSDARG00000101407	Linear		555962	tgm1l4	1.13004	0.679997	1.87792	0.022286914451311923	-45.75512200192991	97.51024400385982	1	1.6618308610185044	true	50.6987	11.3372		
ENSDARG00000045299	Linear		793799	vmo1b	0.859171	0.557511	1.32405	0.011123085338870076	-66.21612200192992	138.43224400385984	-1	1.5410834943167042	true	344.367	-58.3348		
