R-DRE-2565942	Regulation of PLK1 Activity at G2/M Transition	46	46	1	1	1	1	1	1	1	1	1	14	45	4832	0.9916	0.13231	0.13231	2.17	553389	haus1	ENSDARG00000058968		1.5156	1.5156	1.5156		1.5156		0.808683	0.808683	0.808683		0.808683		2.84049	2.84049	2.84049		2.84049						1.5156	0.808683	2.84049	0	1	0															1	553389	ENSDARG00000058968	1.5156	1.5156		0.808683	0.808683		2.84049	2.84049		1.5156	0.808683	2.84049	0						Linear,1(1)	1.7407057285308838	1.7407057285308838	1.7407057285308838	1.7407057285308838	0.0	1.7407057285308838	1.5156	1.5156	0.808683	0.808683	2.84049	2.84049	DOWN	0.0	1.0	0.0	
R-DRE-380259	Loss of Nlp from mitotic centrosomes	41	41	1	1	1	1	1	1	1	1	1	14	40	4837	0.99328	0.11876	0.11876	2.44	553389	haus1	ENSDARG00000058968		1.5156	1.5156	1.5156		1.5156		0.808683	0.808683	0.808683		0.808683		2.84049	2.84049	2.84049		2.84049						1.5156	0.808683	2.84049	0	1	0															1	553389	ENSDARG00000058968	1.5156	1.5156		0.808683	0.808683		2.84049	2.84049		1.5156	0.808683	2.84049	0						Linear,1(1)	1.7407057285308838	1.7407057285308838	1.7407057285308838	1.7407057285308838	0.0	1.7407057285308838	1.5156	1.5156	0.808683	0.808683	2.84049	2.84049	DOWN	0.0	1.0	0.0	
R-DRE-380270	Recruitment of mitotic centrosome proteins and complexes	45	45	1	1	1	1	1	1	1	1	1	14	44	4833	0.99195	0.12961	0.12961	2.22	553389	haus1	ENSDARG00000058968		1.5156	1.5156	1.5156		1.5156		0.808683	0.808683	0.808683		0.808683		2.84049	2.84049	2.84049		2.84049						1.5156	0.808683	2.84049	0	1	0															1	553389	ENSDARG00000058968	1.5156	1.5156		0.808683	0.808683		2.84049	2.84049		1.5156	0.808683	2.84049	0						Linear,1(1)	1.7407057285308838	1.7407057285308838	1.7407057285308838	1.7407057285308838	0.0	1.7407057285308838	1.5156	1.5156	0.808683	0.808683	2.84049	2.84049	DOWN	0.0	1.0	0.0	
R-DRE-380284	Loss of proteins required for interphase microtubule organization from the centrosome	41	41	1	1	1	1	1	1	1	1	1	14	40	4837	0.99328	0.11876	0.11876	2.44	553389	haus1	ENSDARG00000058968		1.5156	1.5156	1.5156		1.5156		0.808683	0.808683	0.808683		0.808683		2.84049	2.84049	2.84049		2.84049						1.5156	0.808683	2.84049	0	1	0															1	553389	ENSDARG00000058968	1.5156	1.5156		0.808683	0.808683		2.84049	2.84049		1.5156	0.808683	2.84049	0						Linear,1(1)	1.7407057285308838	1.7407057285308838	1.7407057285308838	1.7407057285308838	0.0	1.7407057285308838	1.5156	1.5156	0.808683	0.808683	2.84049	2.84049	DOWN	0.0	1.0	0.0	
R-DRE-380287	Centrosome maturation	45	45	1	1	1	1	1	1	1	1	1	14	44	4833	0.99195	0.12961	0.12961	2.22	553389	haus1	ENSDARG00000058968		1.5156	1.5156	1.5156		1.5156		0.808683	0.808683	0.808683		0.808683		2.84049	2.84049	2.84049		2.84049						1.5156	0.808683	2.84049	0	1	0															1	553389	ENSDARG00000058968	1.5156	1.5156		0.808683	0.808683		2.84049	2.84049		1.5156	0.808683	2.84049	0						Linear,1(1)	1.7407057285308838	1.7407057285308838	1.7407057285308838	1.7407057285308838	0.0	1.7407057285308838	1.5156	1.5156	0.808683	0.808683	2.84049	2.84049	DOWN	0.0	1.0	0.0	
R-DRE-380320	Recruitment of NuMA to mitotic centrosomes	45	45	1	1	1	1	1	1	1	1	1	14	44	4833	0.99195	0.12961	0.12961	2.22	553389	haus1	ENSDARG00000058968		1.5156	1.5156	1.5156		1.5156		0.808683	0.808683	0.808683		0.808683		2.84049	2.84049	2.84049		2.84049						1.5156	0.808683	2.84049	0	1	0															1	553389	ENSDARG00000058968	1.5156	1.5156		0.808683	0.808683		2.84049	2.84049		1.5156	0.808683	2.84049	0						Linear,1(1)	1.7407057285308838	1.7407057285308838	1.7407057285308838	1.7407057285308838	0.0	1.7407057285308838	1.5156	1.5156	0.808683	0.808683	2.84049	2.84049	DOWN	0.0	1.0	0.0	
R-DRE-453274	Mitotic G2-G2/M phases	106	110	1	1	1	1	1	1	1	1	1	14	109	4768	0.95652	0.28939	0.28939	0.91	553389	haus1	ENSDARG00000058968		1.5156	1.5156	1.5156		1.5156		0.808683	0.808683	0.808683		0.808683		2.84049	2.84049	2.84049		2.84049						1.5156	0.808683	2.84049	0	1	0															1	553389	ENSDARG00000058968	1.5156	1.5156		0.808683	0.808683		2.84049	2.84049		1.5156	0.808683	2.84049	0						Linear,1(1)	1.7407057285308838	1.7407057285308838	1.7407057285308838	1.7407057285308838	0.0	1.7407057285308838	1.5156	1.5156	0.808683	0.808683	2.84049	2.84049	DOWN	0.0	1.0	0.0	
R-DRE-5617833	Cilium Assembly	97	99	2	2	2	2	2	2	2	2	2	13	97	4780	0.99693	0.035868	0.035868	2.02	553389;393269	haus1;bbs5	ENSDARG00000058968;ENSDARG00000039827		1.55942	1.55942	1.5156	0.06197083830319025	1.547205618803792	0.0595147257742729	0.821125	0.821125	0.808683	0.017595645143051106	0.8176569185111087	0.016898270608943673	2.962045	2.962045	2.84049	0.17190472957427347	2.9281627748447034	0.165091567583124					1.5156;1.60324	0.808683;0.833567	2.84049;3.0836	0	2	0															2	553389;393269	ENSDARG00000058968;ENSDARG00000039827	1.55942	1.55942	0.06197083830319025	0.821125	0.821125	0.017595645143051106	2.962045	2.962045	0.17190472957427347	1.5156;1.60324	0.808683;0.833567	2.84049;3.0836	0						Linear,2(1)	1.6414276633434979	3.288517475128174	1.54781174659729	1.7407057285308838	0.13639664267531953	1.644258737564087	1.4735328	1.6453072	0.7967386800000001	0.8455113199999998	2.7237971999999995	3.2002928	DOWN	0.0	1.0	0.0	
R-DRE-5620912	Anchoring of the basal body to the plasma membrane	55	55	1	1	1	1	1	1	1	1	1	14	54	4823	0.98813	0.1562	0.1562	1.82	553389	haus1	ENSDARG00000058968		1.5156	1.5156	1.5156		1.5156		0.808683	0.808683	0.808683		0.808683		2.84049	2.84049	2.84049		2.84049						1.5156	0.808683	2.84049	0	1	0															1	553389	ENSDARG00000058968	1.5156	1.5156		0.808683	0.808683		2.84049	2.84049		1.5156	0.808683	2.84049	0						Linear,1(1)	1.7407057285308838	1.7407057285308838	1.7407057285308838	1.7407057285308838	0.0	1.7407057285308838	1.5156	1.5156	0.808683	0.808683	2.84049	2.84049	DOWN	0.0	1.0	0.0	
R-DRE-69275	G2/M Transition	105	109	1	1	1	1	1	1	1	1	1	14	108	4769	0.95724	0.28715	0.28715	0.92	553389	haus1	ENSDARG00000058968		1.5156	1.5156	1.5156		1.5156		0.808683	0.808683	0.808683		0.808683		2.84049	2.84049	2.84049		2.84049						1.5156	0.808683	2.84049	0	1	0															1	553389	ENSDARG00000058968	1.5156	1.5156		0.808683	0.808683		2.84049	2.84049		1.5156	0.808683	2.84049	0						Linear,1(1)	1.7407057285308838	1.7407057285308838	1.7407057285308838	1.7407057285308838	0.0	1.7407057285308838	1.5156	1.5156	0.808683	0.808683	2.84049	2.84049	DOWN	0.0	1.0	0.0	
R-DRE-8854518	AURKA Activation by TPX2	42	42	1	1	1	1	1	1	1	1	1	14	41	4836	0.99296	0.12149	0.12149	2.38	553389	haus1	ENSDARG00000058968		1.5156	1.5156	1.5156		1.5156		0.808683	0.808683	0.808683		0.808683		2.84049	2.84049	2.84049		2.84049						1.5156	0.808683	2.84049	0	1	0															1	553389	ENSDARG00000058968	1.5156	1.5156		0.808683	0.808683		2.84049	2.84049		1.5156	0.808683	2.84049	0						Linear,1(1)	1.7407057285308838	1.7407057285308838	1.7407057285308838	1.7407057285308838	0.0	1.7407057285308838	1.5156	1.5156	0.808683	0.808683	2.84049	2.84049	DOWN	0.0	1.0	0.0	
R-DRE-977443	GABA receptor activation	40	40	1	1	1	1	1	0	1	0	0	15	40	4837	0.88397	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-977444	GABA B receptor activation	29	29	1	1	1	1	1	0	1	0	0	15	29	4848	0.91456	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-991365	Activation of GABAB receptors	29	29	1	1	1	1	1	0	1	0	0	15	29	4848	0.91456	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9018677	Biosynthesis of DHA-derived SPMs	16	16	1	1	1	1	1	1	1	1	1	14	15	4862	0.99897	0.048019	0.048019	6.25	559020	ptgs2b	ENSDARG00000010276		1.63877	1.63877	1.63877		1.63877		0.842515	0.842515	0.842515		0.842515		3.18755	3.18755	3.18755		3.18755		0.0	1.63877			1.63877	0.842515	3.18755	1	0	1	559020	ENSDARG00000010276	1.63877	1.63877		0.842515	0.842515		3.18755	3.18755		1.63877	0.842515	3.18755	0															0						Linear,1(1)	2.961481332778931	2.9614813327789307	2.9614813327789307	2.9614813327789307	0.0	2.9614813327789307	1.63877	1.63877	0.842515	0.842515	3.18755	3.18755	UP	1.0	0.0	0.0	
R-DRE-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	17	17	1	1	1	1	1	1	1	1	1	14	16	4861	0.99884	0.050948	0.050948	5.88	559020	ptgs2b	ENSDARG00000010276		1.63877	1.63877	1.63877		1.63877		0.842515	0.842515	0.842515		0.842515		3.18755	3.18755	3.18755		3.18755		0.0	1.63877			1.63877	0.842515	3.18755	1	0	1	559020	ENSDARG00000010276	1.63877	1.63877		0.842515	0.842515		3.18755	3.18755		1.63877	0.842515	3.18755	0															0						Linear,1(1)	2.961481332778931	2.9614813327789307	2.9614813327789307	2.9614813327789307	0.0	2.9614813327789307	1.63877	1.63877	0.842515	0.842515	3.18755	3.18755	UP	1.0	0.0	0.0	
R-DRE-6804115	TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	14	14	1	1	1	1	1	1	1	1	1	14	13	4864	0.99922	0.042137	0.042137	7.14	30079	btg2	ENSDARG00000020298		1.63748	1.63748	1.63748		1.63748		0.842145	0.842145	0.842145		0.842145		3.18395	3.18395	3.18395		3.18395		0.0	1.63748			1.63748	0.842145	3.18395	1	0	1	30079	ENSDARG00000020298	1.63748	1.63748		0.842145	0.842145		3.18395	3.18395		1.63748	0.842145	3.18395	0															0						Linear,1(1)	1.7828272581100464	1.7828272581100464	1.7828272581100464	1.7828272581100464	0.0	1.7828272581100464	1.63748	1.63748	0.842145	0.842145	3.18395	3.18395	UP	1.0	0.0	0.0	
R-DRE-606279	Deposition of new CENPA-containing nucleosomes at the centromere	23	33	2	2	2	0	0	0	2	0	0	15	33	4844	0.90332	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-774815	Nucleosome assembly	23	33	2	2	2	0	0	0	2	0	0	15	33	4844	0.90332	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8956319	Nucleobase catabolism	20	20	1	1	1	1	1	1	1	1	1	14	19	4858	0.99838	0.059683	0.059683	5.0	561683	nt5c1bb	ENSDARG00000033742		1.09032	1.09032	1.09032		1.09032		0.664201	0.664201	0.664201		0.664201		1.78983	1.78983	1.78983		1.78983		0.0	1.09032			1.09032	0.664201	1.78983	1	0	1	561683	ENSDARG00000033742	1.09032	1.09032		0.664201	0.664201		1.78983	1.78983		1.09032	0.664201	1.78983	0															0						Linear,1(1)	1.5241694450378418	1.5241694450378418	1.5241694450378418	1.5241694450378418	0.0	1.5241694450378418	1.09032	1.09032	0.664201	0.664201	1.78983	1.78983	UP	1.0	0.0	0.0	
R-DRE-71384	Ethanol oxidation	6	6	1	1	0	1	1	1	1	0	0	15	6	4871	0.98173	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5689603	UCH proteinases	52	61	1	1	1	0	0	0	1	0	0	15	61	4816	0.82821	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5173214	O-glycosylation of TSR domain-containing proteins	16	16	1	1	1	0	0	0	1	0	0	15	16	4861	0.95198	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-187577	SCF(Skp2)-mediated degradation of p27/p21	41	44	2	1	0	2	2	1	2	0	0	15	44	4833	0.87309	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6804116	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	6	7	1	0	0	1	1	1	1	0	0	15	7	4870	0.97872	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69563	p53-Dependent G1 DNA Damage Response	40	44	1	0	0	1	1	1	1	0	0	15	44	4833	0.87309	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69580	p53-Dependent G1/S DNA damage checkpoint	40	44	1	0	0	1	1	1	1	0	0	15	44	4833	0.87309	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69615	G1/S DNA Damage Checkpoints	42	46	1	0	0	1	1	1	1	0	0	15	46	4831	0.86769	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-418346	Platelet homeostasis	42	43	1	1	1	0	0	0	1	0	0	15	43	4834	0.8758	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-373753	Nephrin family interactions	6	6	1	1	1	1	1	1	1	1	1	14	5	4872	0.99987	0.018266	0.018266	16.67	557914	nphs2	ENSDARG00000042850		1.99582	1.99582	1.99582		1.99582		0.912416	0.912416	0.912416		0.9124159999999999		4.36564	4.36564	4.36564		4.36564		0.0	1.99582	0.0	1.99582	1.99582	0.912416	4.36564	1	0	1	557914	ENSDARG00000042850	1.99582	1.99582		0.912416	0.912416		4.36564	4.36564		1.99582	0.912416	4.36564	0															0						Linear,1(1)	3.1889030933380127	3.1889030933380127	3.1889030933380127	3.1889030933380127	0.0	3.1889030933380127	1.99582	1.99582	0.912416	0.912416	4.36564	4.36564	UP	1.0	0.0	0.0	
R-DRE-879518	Transport of organic anions	5	8	1	1	0	1	1	1	1	0	0	15	8	4869	0.97571	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-174143	APC/C-mediated degradation of cell cycle proteins	57	61	1	1	0	1	1	0	1	0	0	15	61	4816	0.82821	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	51	54	1	1	0	1	1	0	1	0	0	15	54	4823	0.84642	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-453276	Regulation of mitotic cell cycle	57	61	1	1	0	1	1	0	1	0	0	15	61	4816	0.82821	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69017	CDK-mediated phosphorylation and removal of Cdc6	50	54	1	0	0	1	1	1	1	0	0	15	54	4823	0.84642	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69052	Switching of origins to a post-replicative state	63	67	2	1	0	2	2	1	2	0	0	15	67	4810	0.81289	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69239	Synthesis of DNA	77	81	2	1	0	2	2	1	2	0	0	15	81	4796	0.77817	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69306	DNA Replication	83	87	2	1	0	2	2	1	2	0	0	15	87	4790	0.76372	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1296041	Activation of G protein gated Potassium channels	22	22	1	1	1	1	1	0	1	0	0	15	22	4855	0.93453	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1296059	G protein gated Potassium channels	22	22	1	1	1	1	1	0	1	0	0	15	22	4855	0.93453	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1296065	Inwardly rectifying K+ channels	28	28	1	1	1	1	1	0	1	0	0	15	28	4849	0.91739	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-997272	Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	22	22	1	1	1	1	1	0	1	0	0	15	22	4855	0.93453	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1538133	G0 and Early G1	11	12	1	0	0	1	1	1	1	0	0	15	12	4865	0.96378	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-68949	Orc1 removal from chromatin	47	51	1	1	0	1	1	0	1	0	0	15	51	4826	0.85434	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5685942	HDR through Homologous Recombination (HRR)	36	37	1	1	1	1	1	0	1	0	0	15	37	4840	0.89222	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693579	Homologous DNA Pairing and Strand Exchange	23	24	1	1	1	1	1	0	1	0	0	15	24	4853	0.92879	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	23	24	1	1	1	1	1	0	1	0	0	15	24	4853	0.92879	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-74158	RNA Polymerase III Transcription	19	19	1	1	1	0	0	0	1	0	0	15	19	4858	0.94322	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-76046	RNA Polymerase III Transcription Initiation	19	19	1	1	1	0	0	0	1	0	0	15	19	4858	0.94322	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-76061	RNA Polymerase III Transcription Initiation From Type 1 Promoter	15	15	1	1	1	0	0	0	1	0	0	15	15	4862	0.95492	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-76066	RNA Polymerase III Transcription Initiation From Type 2 Promoter	15	15	1	1	1	0	0	0	1	0	0	15	15	4862	0.95492	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-77289	Mitochondrial Fatty Acid Beta-Oxidation	16	16	1	1	0	1	1	1	1	0	0	15	16	4861	0.95198	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2161522	Abacavir transport and metabolism	7	7	1	1	0	1	1	1	1	0	0	15	7	4870	0.97872	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2161541	Abacavir metabolism	6	6	1	1	0	1	1	1	1	0	0	15	6	4871	0.98173	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-74259	Purine catabolism	12	12	1	1	1	1	1	1	1	1	1	14	11	4866	0.99943	0.036221	0.036221	8.33	561683	nt5c1bb	ENSDARG00000033742		1.09032	1.09032	1.09032		1.09032		0.664201	0.664201	0.664201		0.664201		1.78983	1.78983	1.78983		1.78983		0.0	1.09032			1.09032	0.664201	1.78983	1	0	1	561683	ENSDARG00000033742	1.09032	1.09032		0.664201	0.664201		1.78983	1.78983		1.09032	0.664201	1.78983	0															0						Linear,1(1)	1.5241694450378418	1.5241694450378418	1.5241694450378418	1.5241694450378418	0.0	1.5241694450378418	1.09032	1.09032	0.664201	0.664201	1.78983	1.78983	UP	1.0	0.0	0.0	
R-DRE-5620920	Cargo trafficking to the periciliary membrane	20	21	1	1	1	1	1	1	1	1	1	14	20	4857	0.99822	0.062578	0.062578	4.76	393269	bbs5	ENSDARG00000039827		1.60324	1.60324	1.60324		1.60324		0.833567	0.833567	0.833567		0.833567		3.0836	3.0836	3.0836		3.0836						1.60324	0.833567	3.0836	0	1	0															1	393269	ENSDARG00000039827	1.60324	1.60324		0.833567	0.833567		3.0836	3.0836		1.60324	0.833567	3.0836	0						Linear,1(1)	1.54781174659729	1.54781174659729	1.54781174659729	1.54781174659729	0.0	1.54781174659729	1.60324	1.60324	0.833567	0.833567	3.0836	3.0836	DOWN	0.0	1.0	0.0	
R-DRE-5620922	BBSome-mediated cargo-targeting to cilium	6	7	1	1	1	1	1	1	1	1	1	14	6	4871	0.99982	0.02128	0.02128	14.29	393269	bbs5	ENSDARG00000039827		1.60324	1.60324	1.60324		1.60324		0.833567	0.833567	0.833567		0.833567		3.0836	3.0836	3.0836		3.0836		0.0	1.60324	0.0	1.60324	1.60324	0.833567	3.0836	0	1	0															1	393269	ENSDARG00000039827	1.60324	1.60324		0.833567	0.833567		3.0836	3.0836		1.60324	0.833567	3.0836	0						Linear,1(1)	1.54781174659729	1.54781174659729	1.54781174659729	1.54781174659729	0.0	1.54781174659729	1.60324	1.60324	0.833567	0.833567	3.0836	3.0836	DOWN	0.0	1.0	0.0	
R-DRE-5693537	Resolution of D-Loop Structures	17	17	1	1	1	1	1	0	1	0	0	15	17	4860	0.94905	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693568	Resolution of D-loop Structures through Holliday Junction Intermediates	17	17	1	1	1	1	1	0	1	0	0	15	17	4860	0.94905	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1296346	Tandem pore domain potassium channels	5	7	1	1	1	1	1	1	1	1	1	14	6	4871	0.99982	0.02128	0.02128	14.29	101882139	kcnk17	ENSDARG00000105453		1.48459	1.48459	1.48459		1.48459		0.801927	0.801927	0.801927		0.801927		2.7484	2.7484	2.7484		2.7484		0.0	1.48459	0.0	1.48459	1.48459	0.801927	2.7484	1	0	1	101882139	ENSDARG00000105453	1.48459	1.48459		0.801927	0.801927		2.7484	2.7484		1.48459	0.801927	2.7484	0															0						Linear,1(1)	4.0242919921875	4.0242919921875	4.0242919921875	4.0242919921875	0.0	4.0242919921875	1.48459	1.48459	0.801927	0.801927	2.7484	2.7484	UP	1.0	0.0	0.0	
R-DRE-399954	Sema3A PAK dependent Axon repulsion	10	10	1	1	1	0	0	0	1	0	0	15	10	4867	0.96973	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-70635	Urea cycle	6	6	1	1	0	1	1	1	1	0	0	15	6	4871	0.98173	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69200	Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes	2	2	1	0	0	1	1	1	1	0	0	15	2	4875	0.99388	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8849470	PTK6 Regulates Cell Cycle	4	4	1	0	0	1	1	1	1	0	0	15	4	4873	0.98779	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5362517	Signaling by Retinoic Acid	32	32	1	1	0	1	1	1	1	0	0	15	32	4845	0.90612	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5365859	RA biosynthesis pathway	12	12	1	1	0	1	1	1	1	0	0	15	12	4865	0.96378	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1299361	TWIK-related alkaline pH activated K+ channel (TALK)	1	1	1	1	1	1	1	1	1	1	1	14	0	4877	1.0	0.0030662	0.0030662	100.0	101882139	kcnk17	ENSDARG00000105453		1.48459	1.48459	1.48459		1.48459		0.801927	0.801927	0.801927		0.801927		2.7484	2.7484	2.7484		2.7484		0.0	1.48459	0.0	1.48459	1.48459	0.801927	2.7484	1	0	1	101882139	ENSDARG00000105453	1.48459	1.48459		0.801927	0.801927		2.7484	2.7484		1.48459	0.801927	2.7484	0															0						Linear,1(1)	4.0242919921875	4.0242919921875	4.0242919921875	4.0242919921875	0.0	4.0242919921875	1.48459	1.48459	0.801927	0.801927	2.7484	2.7484	UP	1.0	0.0	0.0	
R-DRE-8939902	Regulation of RUNX2 expression and activity	37	39	1	1	0	1	1	0	1	0	0	15	39	4838	0.88671	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-399956	CRMPs in Sema3A signaling	12	12	1	1	1	0	0	0	1	0	0	15	12	4865	0.96378	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9706019	RHOBTB3 ATPase cycle	6	6	1	0	0	1	1	1	1	0	0	15	6	4871	0.98173	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-392154	Nitric oxide stimulates guanylate cyclase	6	7	1	1	1	0	0	0	1	0	0	15	7	4870	0.97872	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1222556	ROS and RNS production in phagocytes	17	18	1	1	1	0	0	0	1	0	0	15	18	4859	0.94613	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-399955	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	7	7	1	1	1	0	0	0	1	0	0	15	7	4870	0.97872	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2162123	Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	8	8	1	1	1	1	1	1	1	1	1	14	7	4870	0.99976	0.024285	0.024285	12.5	559020	ptgs2b	ENSDARG00000010276		1.63877	1.63877	1.63877		1.63877		0.842515	0.842515	0.842515		0.842515		3.18755	3.18755	3.18755		3.18755		0.0	1.63877	0.0	1.63877	1.63877	0.842515	3.18755	1	0	1	559020	ENSDARG00000010276	1.63877	1.63877		0.842515	0.842515		3.18755	3.18755		1.63877	0.842515	3.18755	0															0						Linear,1(1)	2.961481332778931	2.9614813327789307	2.9614813327789307	2.9614813327789307	0.0	2.9614813327789307	1.63877	1.63877	0.842515	0.842515	3.18755	3.18755	UP	1.0	0.0	0.0	
R-DRE-419408	Lysosphingolipid and LPA receptors	8	9	1	1	0	1	1	1	1	0	0	15	9	4868	0.97272	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2142712	Synthesis of 12-eicosatetraenoic acid derivatives	3	3	1	1	0	1	1	1	1	0	0	15	3	4874	0.99083	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9018683	Biosynthesis of DPA-derived SPMs	2	2	1	1	1	1	1	1	1	1	1	14	1	4876	0.99999	0.0061237	0.0061237	50.0	559020	ptgs2b	ENSDARG00000010276		1.63877	1.63877	1.63877		1.63877		0.842515	0.842515	0.842515		0.842515		3.18755	3.18755	3.18755		3.18755		0.0	1.63877	0.0	1.63877	1.63877	0.842515	3.18755	1	0	1	559020	ENSDARG00000010276	1.63877	1.63877		0.842515	0.842515		3.18755	3.18755		1.63877	0.842515	3.18755	0															0						Linear,1(1)	2.961481332778931	2.9614813327789307	2.9614813327789307	2.9614813327789307	0.0	2.9614813327789307	1.63877	1.63877	0.842515	0.842515	3.18755	3.18755	UP	1.0	0.0	0.0	
R-DRE-9025094	Biosynthesis of DPAn-3 SPMs	2	2	1	1	1	1	1	1	1	1	1	14	1	4876	0.99999	0.0061237	0.0061237	50.0	559020	ptgs2b	ENSDARG00000010276		1.63877	1.63877	1.63877		1.63877		0.842515	0.842515	0.842515		0.842515		3.18755	3.18755	3.18755		3.18755		0.0	1.63877	0.0	1.63877	1.63877	0.842515	3.18755	1	0	1	559020	ENSDARG00000010276	1.63877	1.63877		0.842515	0.842515		3.18755	3.18755		1.63877	0.842515	3.18755	0															0						Linear,1(1)	2.961481332778931	2.9614813327789307	2.9614813327789307	2.9614813327789307	0.0	2.9614813327789307	1.63877	1.63877	0.842515	0.842515	3.18755	3.18755	UP	1.0	0.0	0.0	
R-DRE-2142770	Synthesis of 15-eicosatetraenoic acid derivatives	3	3	1	1	1	1	1	1	1	1	1	14	2	4875	0.99997	0.0091724	0.0091724	33.33	559020	ptgs2b	ENSDARG00000010276		1.63877	1.63877	1.63877		1.63877		0.842515	0.842515	0.842515		0.842515		3.18755	3.18755	3.18755		3.18755		0.0	1.63877	0.0	1.63877	1.63877	0.842515	3.18755	1	0	1	559020	ENSDARG00000010276	1.63877	1.63877		0.842515	0.842515		3.18755	3.18755		1.63877	0.842515	3.18755	0															0						Linear,1(1)	2.961481332778931	2.9614813327789307	2.9614813327789307	2.9614813327789307	0.0	2.9614813327789307	1.63877	1.63877	0.842515	0.842515	3.18755	3.18755	UP	1.0	0.0	0.0	
