R-DRE-9006936	Signaling by TGFB family members	34	55	2	2	0	1	1	1	2	0	0	13	55	4824	0.86315	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-159418	Recycling of bile acids and salts	5	6	1	1	1	1	1	1	1	1	1	12	5	4874	0.9999	0.015847	0.015847	16.67	415166	fabp6	ENSDARG00000044566		445.962	445.962	445.962		445.962		258.251	258.251	258.251		258.251		770.113	770.113	770.113		770.113		0.0	445.962	0.0	445.962	445.962	258.251	770.113	1	0	1	415166	ENSDARG00000044566	445.962	445.962		258.251	258.251		770.113	770.113		445.962	258.251	770.113	0															0						Linear,1(1)	1.6338356733322144	1.6338356733322144	1.6338356733322144	1.6338356733322144	0.0	1.6338356733322144	445.962	445.962	258.251	258.251	770.113	770.113	UP	1.0	0.0	0.0	
R-DRE-192105	Synthesis of bile acids and bile salts	10	20	1	1	1	0	0	0	1	0	0	13	20	4859	0.94807	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	8	13	1	1	1	0	0	0	1	0	0	13	13	4866	0.96596	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-193775	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	5	6	1	1	1	0	0	0	1	0	0	13	6	4873	0.98415	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-194068	Bile acid and bile salt metabolism	11	21	2	2	2	1	1	1	2	1	1	12	20	4859	0.99867	0.054456	0.054456	4.76	415166	fabp6	ENSDARG00000044566		445.962	445.962	445.962		445.962		258.251	258.251	258.251		258.251		770.113	770.113	770.113		770.113						445.962	258.251	770.113	1	0	1	415166	ENSDARG00000044566	445.962	445.962		258.251	258.251		770.113	770.113		445.962	258.251	770.113	0															0						Linear,1(1)	1.6338356733322144	1.6338356733322144	1.6338356733322144	1.6338356733322144	0.0	1.6338356733322144	445.962	445.962	258.251	258.251	770.113	770.113	UP	1.0	0.0	0.0	
R-DRE-8957322	Metabolism of steroids	36	62	3	2	2	1	1	1	3	1	1	12	61	4818	0.98873	0.15297	0.15297	1.61	415166	fabp6	ENSDARG00000044566		445.962	445.962	445.962		445.962		258.251	258.251	258.251		258.251		770.113	770.113	770.113		770.113						445.962	258.251	770.113	1	0	1	415166	ENSDARG00000044566	445.962	445.962		258.251	258.251		770.113	770.113		445.962	258.251	770.113	0															0						Linear,1(1)	1.6338356733322144	1.6338356733322144	1.6338356733322144	1.6338356733322144	0.0	1.6338356733322144	445.962	445.962	258.251	258.251	770.113	770.113	UP	1.0	0.0	0.0	
R-DRE-5607761	Dectin-1 mediated noncanonical NF-kB signaling	27	40	4	3	3	2	2	1	4	1	1	12	39	4840	0.9952	0.10135	0.10135	2.5	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5607764	CLEC7A (Dectin-1) signaling	33	53	4	3	3	2	2	1	4	1	1	12	52	4827	0.99168	0.13219	0.13219	1.89	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5621481	C-type lectin receptors (CLRs)	37	61	4	3	3	2	2	1	4	1	1	12	60	4819	0.98908	0.15068	0.15068	1.64	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5668541	TNFR2 non-canonical NF-kB pathway	29	59	4	3	3	2	2	1	4	1	1	12	58	4821	0.98976	0.14609	0.14609	1.69	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5676590	NIK-->noncanonical NF-kB signaling	27	40	4	3	3	2	2	1	4	1	1	12	39	4840	0.9952	0.10135	0.10135	2.5	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-373755	Semaphorin interactions	14	30	3	1	0	1	1	1	3	0	0	13	30	4849	0.92306	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-400685	Sema4D in semaphorin signaling	7	10	3	1	0	1	1	1	3	0	0	13	10	4869	0.97372	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-416550	Sema4D mediated inhibition of cell attachment and migration	5	7	2	1	0	1	1	1	2	0	0	13	7	4872	0.98153	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8980692	RHOA GTPase cycle	38	77	1	0	0	0	0	0	1	0	0	13	77	4802	0.81342	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9013106	RHOC GTPase cycle	24	39	1	0	0	0	0	0	1	0	0	13	39	4840	0.90106	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9013406	RHOQ GTPase cycle	16	36	1	0	0	1	1	1	1	0	0	13	36	4843	0.90834	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9013409	RHOJ GTPase cycle	17	32	1	0	0	1	1	1	1	0	0	13	32	4847	0.91813	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9696273	RND1 GTPase cycle	16	32	1	0	0	1	1	0	1	0	0	13	32	4847	0.91813	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6791312	TP53 Regulates Transcription of Cell Cycle Genes	14	27	1	1	1	1	1	1	1	1	1	12	26	4853	0.9978	0.069504	0.069504	3.7	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-6804114	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	3	6	1	1	1	1	1	1	1	1	1	12	5	4874	0.9999	0.015847	0.015847	16.67	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824	0.0	10.5824	10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-389359	CD28 dependent Vav1 pathway	4	10	1	1	0	1	1	1	1	0	0	13	10	4869	0.97372	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-425397	Transport of vitamins, nucleosides, and related molecules	9	23	1	1	1	0	0	0	1	0	0	13	23	4856	0.9405	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-727802	Transport of nucleotide sugars	1	6	1	1	1	0	0	0	1	0	0	13	6	4873	0.98415	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-983712	Ion channel transport	31	65	1	1	1	0	0	0	1	0	0	13	65	4814	0.84021	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2990846	SUMOylation	60	123	4	3	3	2	2	1	4	1	1	12	122	4757	0.95919	0.28212	0.28212	0.81	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-3108232	SUMO E3 ligases SUMOylate target proteins	58	117	4	3	3	2	2	1	4	1	1	12	116	4763	0.96275	0.27027	0.27027	0.85	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	16	28	1	0	0	1	1	1	1	0	0	13	28	4851	0.92801	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-4090294	SUMOylation of intracellular receptors	11	22	1	0	0	0	0	0	1	0	0	13	22	4857	0.94302	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5625740	RHO GTPases activate PKNs	24	47	1	1	0	1	1	1	1	0	0	13	47	4832	0.88192	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-216083	Integrin cell surface interactions	14	30	1	0	0	0	0	0	1	0	0	13	30	4849	0.92306	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8874081	MET activates PTK2 signaling	9	16	1	1	1	0	0	0	1	0	0	13	16	4863	0.95826	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8875878	MET promotes cell motility	16	24	2	2	1	1	1	1	2	0	0	13	24	4855	0.93799	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5578775	Ion homeostasis	16	27	1	1	1	1	1	0	1	0	0	13	27	4852	0.9305	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72165	mRNA Splicing - Minor Pathway	38	43	2	1	1	1	1	1	2	0	0	13	43	4836	0.89144	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72172	mRNA Splicing	105	127	5	4	2	3	3	2	5	0	0	13	127	4752	0.71008	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5358351	Signaling by Hedgehog	49	81	4	3	3	2	2	1	4	1	1	12	80	4799	0.98123	0.19533	0.19533	1.23	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5632684	Hedgehog 'on' state	36	53	4	3	3	2	2	1	4	1	1	12	52	4827	0.99168	0.13219	0.13219	1.89	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-3928663	EPHA-mediated growth cone collapse	5	15	1	0	0	1	1	0	1	0	0	13	15	4864	0.96082	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3928665	EPH-ephrin mediated repulsion of cells	15	31	2	1	0	2	2	1	2	0	0	13	31	4848	0.92059	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-388844	Receptor-type tyrosine-protein phosphatases	4	12	1	0	0	1	1	0	1	0	0	13	12	4867	0.96854	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-170834	Signaling by TGF-beta Receptor Complex	26	39	1	1	0	1	1	1	1	0	0	13	39	4840	0.90106	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72163	mRNA Splicing - Major Pathway	101	120	5	4	2	3	3	2	5	0	0	13	120	4759	0.72378	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-193704	p75 NTR receptor-mediated signalling	20	47	2	1	0	1	1	1	2	0	0	13	47	4832	0.88192	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-4086400	PCP/CE pathway	45	66	6	5	4	3	3	2	6	1	1	12	65	4814	0.98729	0.16205	0.16205	1.52	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-416482	G alpha (12/13) signalling events	19	45	1	0	0	0	0	0	1	0	0	13	45	4834	0.88667	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-416572	Sema4D induced cell migration and growth-cone collapse	4	6	1	0	0	0	0	0	1	0	0	13	6	4873	0.98415	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5625900	RHO GTPases activate CIT	3	4	1	1	0	1	1	1	1	0	0	13	4	4875	0.98941	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5625970	RHO GTPases activate KTN1	7	9	1	1	0	1	1	1	1	0	0	13	9	4870	0.97632	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5666185	RHO GTPases Activate Rhotekin and Rhophilins	3	4	1	1	1	0	0	0	1	0	0	13	4	4875	0.98941	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1482801	Acyl chain remodelling of PS	5	13	1	0	0	0	0	0	1	0	0	13	13	4866	0.96596	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1852241	Organelle biogenesis and maintenance	52	121	3	1	1	2	2	1	3	0	0	13	121	4758	0.72181	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3108214	SUMOylation of DNA damage response and repair proteins	26	52	2	1	1	0	0	0	2	0	0	13	52	4827	0.87014	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-453274	Mitotic G2-G2/M phases	63	110	4	3	3	2	2	1	4	1	1	12	109	4770	0.96675	0.25623	0.25623	0.91	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5617833	Cilium Assembly	34	99	1	0	0	0	0	0	1	0	0	13	99	4780	0.76635	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69275	G2/M Transition	63	109	4	3	3	2	2	1	4	1	1	12	108	4771	0.96731	0.2542	0.2542	0.92	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-1059683	Interleukin-6 signaling	3	5	1	0	0	1	1	1	1	0	0	13	5	4874	0.98678	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-110056	MAPK3 (ERK1) activation	3	5	1	0	0	1	1	1	1	0	0	13	5	4874	0.98678	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112409	RAF-independent MAPK1/3 activation	8	14	2	1	0	2	2	2	2	0	0	13	14	4865	0.96338	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112411	MAPK1 (ERK2) activation	3	4	1	0	0	1	1	1	1	0	0	13	4	4875	0.98941	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6783589	Interleukin-6 family signaling	3	7	1	0	0	1	1	1	1	0	0	13	7	4872	0.98153	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6788467	IL-6-type cytokine receptor ligand interactions	2	4	1	0	0	1	1	1	1	0	0	13	4	4875	0.98941	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-170670	Adenylate cyclase inhibitory pathway	3	7	1	1	0	1	1	1	1	0	0	13	7	4872	0.98153	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-392170	ADP signalling through P2Y purinoceptor 12	11	17	1	1	0	1	1	1	1	0	0	13	17	4862	0.9557	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-977443	GABA receptor activation	12	40	1	1	0	1	1	1	1	0	0	13	40	4839	0.89865	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-977444	GABA B receptor activation	12	29	1	1	0	1	1	1	1	0	0	13	29	4850	0.92553	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-991365	Activation of GABAB receptors	12	29	1	1	0	1	1	1	1	0	0	13	29	4850	0.92553	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-195253	Degradation of beta-catenin by the destruction complex	44	57	4	3	3	2	2	1	4	1	1	12	56	4823	0.99042	0.14148	0.14148	1.75	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-201681	TCF dependent signaling in response to WNT	69	127	5	3	3	2	2	1	5	1	1	12	126	4753	0.95674	0.28992	0.28992	0.79	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-9018519	Estrogen-dependent gene expression	43	74	1	0	0	1	1	1	1	0	0	13	74	4805	0.82005	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-913531	Interferon Signaling	9	24	1	1	0	1	1	1	1	0	0	13	24	4855	0.93799	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3215018	Processing and activation of SUMO	6	10	1	0	0	0	0	0	1	0	0	13	10	4869	0.97372	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-73884	Base Excision Repair	19	38	1	1	1	1	1	1	1	1	1	12	37	4842	0.99566	0.096519	0.096519	2.63	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-73933	Resolution of Abasic Sites (AP sites)	12	19	1	1	1	1	1	1	1	1	1	12	18	4861	0.99891	0.04939	0.04939	5.26	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824			10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-6805567	Keratinization	18	24	1	0	0	1	1	1	1	0	0	13	24	4855	0.93799	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-174824	Plasma lipoprotein assembly, remodeling, and clearance	25	33	1	0	0	1	1	1	1	0	0	13	33	4846	0.91567	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-211897	Cytochrome P450 - arranged by substrate type	21	37	1	1	1	0	0	0	1	0	0	13	37	4842	0.90591	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2187338	Visual phototransduction	31	47	1	1	1	0	0	0	1	0	0	13	47	4832	0.88192	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9709957	Sensory Perception	35	71	2	2	2	0	0	0	2	0	0	13	71	4808	0.82672	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5675221	Negative regulation of MAPK pathway	23	31	1	1	0	1	1	1	1	0	0	13	31	4848	0.92059	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6809371	Formation of the cornified envelope	18	24	1	0	0	1	1	1	1	0	0	13	24	4855	0.93799	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8866654	E3 ubiquitin ligases ubiquitinate target proteins	19	30	1	1	1	1	1	1	1	1	1	12	29	4850	0.99728	0.076945	0.076945	3.33	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-1268020	Mitochondrial protein import	8	15	2	2	1	2	2	1	2	0	0	13	15	4864	0.96082	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-68875	Mitotic Prophase	30	64	1	1	1	0	0	0	1	0	0	13	64	4815	0.84248	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-211000	Gene Silencing by RNA	34	63	1	1	1	0	0	0	1	0	0	13	63	4816	0.84475	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5578749	Transcriptional regulation by small RNAs	31	57	1	1	1	0	0	0	1	0	0	13	57	4822	0.85852	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	12	20	1	1	1	1	1	1	1	1	1	12	19	4860	0.99879	0.051926	0.051926	5.0	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824			10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-1169408	ISG15 antiviral mechanism	5	7	1	1	0	1	1	1	1	0	0	13	7	4872	0.98153	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1169410	Antiviral mechanism by IFN-stimulated genes	5	7	1	1	0	1	1	1	1	0	0	13	7	4872	0.98153	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5656169	Termination of translesion DNA synthesis	10	15	1	1	1	1	1	1	1	1	1	12	14	4865	0.99933	0.039183	0.039183	6.67	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824			10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-73893	DNA Damage Bypass	14	25	1	1	1	1	1	1	1	1	1	12	24	4855	0.99811	0.064512	0.064512	4.0	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-4551638	SUMOylation of chromatin organization proteins	19	30	2	1	1	0	0	0	2	0	0	13	30	4849	0.92306	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-381753	Olfactory Signaling Pathway	5	25	1	1	1	0	0	0	1	0	0	13	25	4854	0.93549	1.0	1.0	0.0																														0	0	0															0															0																							
