944	Glycogen breakdown (glycogenolysis)	9	12	5	5	3	4	5	4	5	3	3	891	9	8084	0.9749	0.10941	0.10941	25.0	27357;68961;18682	gyg;phkg2;phkg1	Gyg_57689;Phkg2_31297;Phkg1_56950	68961(-0.1209)	20.065033333333336	14.5929	12.5272	11.314203623027716	20.746837169986104	11.908007122571172	14.00987	9.53382	8.43719	8.71971216835166	14.601765027790641	9.120910221915636	31.15863333333333	30.3644	23.6901	7.895666840953548	30.890003126447425	8.717202065840215	0.0	12.5272	0.5	13.56005	33.075;14.5929;12.5272	24.0586;9.53382;8.43719	39.4214;30.3644;23.6901	3	0	3	27357;68961;18682	Gyg_57689;Phkg2_31297;Phkg1_56950	20.065033333333336	14.5929	11.314203623027716	14.00987	9.53382	8.71971216835166	31.15863333333333	30.3644	7.895666840953548	33.075;14.5929;12.5272	24.0586;9.53382;8.43719	39.4214;30.3644;23.6901	0															0						Linear,2(0.67);Poly 2,1(0.34)	4.8529206713636555	27.989710807800293	2.0316154956817627	23.571487426757812	12.334850516506696	2.3866078853607178	7.261806658787611	32.86826000787906	4.142586791398383	23.877153208601616	22.223845196263316	40.09342147040334	UP	1.0	0.0	0.0	
945	Pyruvate dehydrogenase (PDH) complex regulation	11	12	4	4	3	4	4	4	4	3	3	891	9	8084	0.9749	0.10941	0.10941	25.0	236900;68263;18597	pdk3;pdhb;pdha1	Pdk3_55331;Pdhb_70668;Pdha1_29563	18597(-0.07216)	19.04863333333333	19.2814	16.9446	1.9978457806681085	19.523717017839584	2.0417299762374994	11.104446666666666	12.2451	8.80604	1.9904969245224606	11.35043204382638	1.8603518954721279	24.572233333333333	22.8845	22.7427	3.04686731140908	24.22166562719483	2.8287809467426515	0.0	16.9446	0.5	18.113	20.9199;16.9446;19.2814	12.2622;8.80604;12.2451	22.8845;28.0895;22.7427	1	2	1	68263	Pdhb_70668	16.9446	16.9446		8.80604	8.80604		28.0895	28.0895		16.9446	8.80604	28.0895	2	236900;18597	Pdk3_55331;Pdha1_29563	20.10065	20.10065	1.1585944609740435	12.25365	12.25365	0.012091525959174142	22.8136	22.8136	0.10026774157115784	20.9199;19.2814	12.2622;12.2451	22.8845;22.7427	0						Hill,2(0.67);Power,1(0.34)	2.2891189669052476	6.998345494270325	1.7755430936813354	2.863713502883911	0.5445619856070428	2.359088897705078	16.787858006767888	21.309408659898782	8.851987353686114	13.356905979647218	21.124378394976183	28.020088271690483	DOWN	0.3333333333333333	0.6666666666666666	0.0	
947	Interconversion of 2-oxoglutarate and 2-hydroxyglutarate	4	4	1	1	0	1	1	1	1	0	0	894	4	8089	0.65758	1.0	1.0	0.0																														0	0	0															0															0																							
948	Pyrimidine catabolism	5	12	1	1	0	1	1	1	1	0	0	894	12	8081	0.28417	1.0	0.62279	0.0																														0	0	0															0															0																							
949	Pyrimidine salvage reactions	7	9	2	2	0	2	2	2	2	0	0	894	9	8084	0.38928	1.0	1.0	0.0																														0	0	0															0															0																							
95	Nitric oxide signaling pathway	9	18	3	3	2	3	3	3	3	2	2	892	16	8077	0.73652	0.54696	0.69835	11.11	18750;19055	prkca;ppp3ca	Prkca_56923;Ppp3ca_59808		5.27128	5.27128	2.8669	3.4003068050986207	4.777565077669903	3.327848782582704	3.427095	3.427095	1.54729	2.6584457256167555	3.0410962063106797	2.601796213885856	9.86833	9.86833	6.60506	4.6149606916852495	9.19825077184466	4.516619293430594	0.0	2.8669	0.5	5.27128	2.8669;7.67566	1.54729;5.3069	6.60506;13.1316	0	2	0															2	18750;19055	Prkca_56923;Ppp3ca_59808	5.27128	5.27128	3.4003068050986207	3.427095	3.427095	2.6584457256167555	9.86833	9.86833	4.6149606916852495	2.8669;7.67566	1.54729;5.3069	6.60506;13.1316	0						Exp 2,1(0.5);Exp 4,1(0.5)	2.613706575778709	5.369444131851196	2.0713131427764893	3.298130989074707	0.8674912183981454	2.684722065925598	0.5586951999999998	9.9838648	-0.25732279999999985	7.111512799999999	3.4723208000000003	16.264339200000002	DOWN	0.0	1.0	0.0	
950	Utilization of ketone bodies	2	3	2	2	0	2	2	2	2	0	0	894	3	8090	0.73024	1.0	1.0	0.0																														0	0	0															0															0																							
951	Chylomicron-mediated lipid transport	8	16	3	3	0	3	3	3	3	0	0	894	16	8077	0.18676	1.0	0.39516	0.0																														0	0	0															0															0																							
952	HDL-mediated lipid transport	6	13	2	2	1	2	2	2	2	1	1	893	12	8081	0.62385	0.74413	1.0	7.69	65969	cubn	Cubn_58075		40.3136	40.3136	40.3136		40.3136		24.4369	24.4369	24.4369		24.436900000000005		41.2652	41.2652	41.2652		41.2652		0.0	40.3136			40.3136	24.4369	41.2652	1	0	1	65969	Cubn_58075	40.3136	40.3136		24.4369	24.4369		41.2652	41.2652		40.3136	24.4369	41.2652	0															0						Power,1(1)	4.6554131507873535	4.6554131507873535	4.6554131507873535	4.6554131507873535	0.0	4.6554131507873535	40.3136	40.3136	24.4369	24.4369	41.2652	41.2652	UP	1.0	0.0	0.0	
954	Gluconeogenesis	21	31	10	9	3	10	8	8	10	3	3	891	28	8065	0.62766	0.6081	1.0	9.68	78830;14718;27376	slc25a12;got1;slc25a10	Slc25a12_62542;Got1_73162;Slc25a10_80285	14718(0.374)	21.611346666666666	14.3248	9.25744	17.19680463622628	26.379760277189604	19.144069962429683	13.550546666666667	10.0284	6.52144	9.304375437853597	15.98447845492461	10.470244618021697	27.859700000000004	25.6919	15.4593	13.61436242062036	30.34258310555021	15.823635719487521	0.5	11.79112			9.25744;14.3248;41.2518	6.52144;10.0284;24.1018	15.4593;25.6919;42.4279	1	2	1	14718	Got1_73162	14.3248	14.3248		10.0284	10.0284		25.6919	25.6919		14.3248	10.0284	25.6919	2	78830;27376	Slc25a12_62542;Slc25a10_80285	25.254620000000003	25.254620000000003	22.623428915723633	15.311620000000001	15.311620000000001	12.43119177170073	28.9436	28.9436	19.069679939107527	9.25744;41.2518	6.52144;24.1018	15.4593;42.4279	0						Exp 2,1(0.34);Linear,1(0.34);Power,1(0.34)	3.386622695371633	12.581432104110718	1.9309697151184082	8.196269035339355	3.476089078310488	2.454193353652954	2.151330286250449	41.07136304708289	3.0216546858418774	24.079438647491454	12.453598615555025	43.26580138444498	DOWN	0.3333333333333333	0.6666666666666666	0.0	
955	Glycolysis	21	29	7	6	2	7	6	6	7	2	2	892	27	8066	0.43836	0.79912	1.0	6.9	15275;56421	hk1;pfkp	Hk1_70457,Hk1_75101;Pfkp_70497	15275(0.4822);56421(-0.04463)	26.6794225	26.6794225	25.206545	2.082963336214157	26.974256721071505	2.040804210154238	13.176860000000001	13.176860000000001	12.4426	1.0384004503080362	13.029879022176685	1.0173832510495262	36.0222	36.0222	28.6551	10.418652735358842	37.49691408182683	10.207779463415298	0.5	26.6794225			25.206545;28.1523	13.91112;12.4426	28.6551;43.3893	0	3	0															2	15275;56421	Hk1_70457,Hk1_75101;Pfkp_70497	26.6794225	26.6794225	2.082963336214157	13.176860000000001	13.176860000000001	1.0384004503080362	36.0222	36.0222	10.418652735358842	25.206545;28.1523	13.91112;12.4426	28.6551;43.3893	0						Exp 3,1(0.34);Linear,1(0.34);Power,1(0.34)	2.483368131419868	7.5160675048828125	2.095940589904785	2.9033401012420654	0.4038211153267447	2.516786813735962	23.7925826	29.566262400000003	11.737710400000001	14.616009600000002	21.582684000000004	50.461715999999996	DOWN	0.0	1.0	0.0	
956	Beta-oxidation of pristanoyl-CoA	7	8	2	2	1	2	2	2	2	1	1	893	7	8086	0.81471	0.56768	0.56768	12.5	20280	scp2	Scp2_29592	20280(-0.3661)	17.0498	17.0498	17.0498		17.0498		10.7327	10.7327	10.7327		10.7327		40.5458	40.5458	40.5458		40.5458		0.0	17.0498	0.0	17.0498	17.0498	10.7327	40.5458	0	1	0															1	20280	Scp2_29592	17.0498	17.0498		10.7327	10.7327		40.5458	40.5458		17.0498	10.7327	40.5458	0						Linear,1(1)	2.0712790489196777	2.0712790489196777	2.0712790489196777	2.0712790489196777	0.0	2.0712790489196777	17.0498	17.0498	10.7327	10.7327	40.5458	40.5458	DOWN	0.0	1.0	0.0	
957	Beta-oxidation of very long chain fatty acids	5	6	3	3	1	3	3	3	3	1	1	893	5	8088	0.88682	0.4668	0.4668	16.67	11430	acox1	Acox1_30274	11430(0.1699)	22.8289	22.8289	22.8289		22.8289		15.9887	15.9887	15.9887		15.9887		25.5525	25.5525	25.5525		25.5525		0.0	22.8289	0.0	22.8289	22.8289	15.9887	25.5525	0	1	0															1	11430	Acox1_30274	22.8289	22.8289		15.9887	15.9887		25.5525	25.5525		22.8289	15.9887	25.5525	0						Exp 5,1(1)	1.6089580059051514	1.6089580059051514	1.6089580059051514	1.6089580059051514	0.0	1.6089580059051514	22.8289	22.8289	15.9887	15.9887	25.5525	25.5525	DOWN	0.0	1.0	0.0	
958	Alpha-oxidation of phytanate	3	4	2	2	0	2	2	2	2	0	0	894	4	8089	0.65758	1.0	1.0	0.0																														0	0	0															0															0																							
959	AMPK inhibition of chREBP transcriptional activation activity	4	5	2	2	0	1	2	1	2	0	0	894	5	8088	0.59213	1.0	1.0	0.0																														0	0	0															0															0																							
960	ChREBP activates metabolic gene expression	6	8	4	4	0	4	4	4	4	0	0	894	8	8085	0.43232	1.0	1.0	0.0																														0	0	0															0															0																							
961	PKA-mediated phosphorylation of key metabolic factors	2	4	1	1	0	1	1	1	1	0	0	894	4	8089	0.65758	1.0	1.0	0.0																														0	0	0															0															0																							
962	PP2A-mediated dephosphorylation of key metabolic factors	5	7	1	1	0	1	1	1	1	0	0	894	7	8086	0.48012	1.0	1.0	0.0																														0	0	0															0															0																							
963	Abacavir transmembrane transport	2	5	1	1	1	1	1	1	1	1	1	893	4	8089	0.91935	0.40787	0.40787	20.0	26357	abcg2	Abcg2_30082	26357(-0.1118)	3.0284	3.0284	3.0284		3.0284		2.06193	2.06193	2.06193		2.06193		5.48311	5.48311	5.48311		5.48311		0.0	3.0284	0.0	3.0284	3.0284	2.06193	5.48311	0	1	0															1	26357	Abcg2_30082	3.0284	3.0284		2.06193	2.06193		5.48311	5.48311		3.0284	2.06193	5.48311	0						Poly 2,1(1)	2.2796642780303955	2.2796642780303955	2.2796642780303955	2.2796642780303955	0.0	2.2796642780303955	3.0284	3.0284	2.06193	2.06193	5.48311	5.48311	DOWN	0.0	1.0	0.0	
964	Recycling of bile acids and salts	4	10	2	2	1	2	2	2	2	1	1	893	9	8084	0.73815	0.64948	1.0	10.0	108096	slco1a5	Slco1a5_76175	108096(-0.5858)	12.2257	12.2257	12.2257		12.2257		8.93958	8.93958	8.93958		8.93958		21.2147	21.2147	21.2147		21.2147		0.0	12.2257	0.0	12.2257	12.2257	8.93958	21.2147	0	1	0															1	108096	Slco1a5_76175	12.2257	12.2257		8.93958	8.93958		21.2147	21.2147		12.2257	8.93958	21.2147	0						Hill,1(1)	13.12140655517578	13.121406555175781	13.121406555175781	13.121406555175781	0.0	13.121406555175781	12.2257	12.2257	8.93958	8.93958	21.2147	21.2147	DOWN	0.0	1.0	0.0	
965	Import of palmitoyl-CoA into the mitochondrial matrix	7	8	4	4	1	3	4	3	4	1	1	893	7	8086	0.81471	0.56768	0.56768	12.5	12894	cpt1a	Cpt1a_61022		18.8438	18.8438	18.8438		18.8438		11.5419	11.5419	11.5419		11.5419		50.2233	50.2233	50.2233		50.2233		0.0	18.8438	0.0	18.8438	18.8438	11.5419	50.2233	1	0	1	12894	Cpt1a_61022	18.8438	18.8438		11.5419	11.5419		50.2233	50.2233		18.8438	11.5419	50.2233	0															0						Linear,1(1)	6.818575859069824	6.818575859069824	6.818575859069824	6.818575859069824	0.0	6.818575859069824	18.8438	18.8438	11.5419	11.5419	50.2233	50.2233	UP	1.0	0.0	0.0	
967	Hydrolysis of lysophosphatidylcholine (LPC)	3	8	1	1	1	1	1	1	1	1	1	893	7	8086	0.81471	0.56768	0.56768	12.5	74182	gpcpd1	Gpcpd1_69001,Gpcpd1_72916	74182(-0.2887)	14.991299999999999	14.991299999999999	14.991299999999999		14.991299999999999		8.553519999999999	8.553519999999999	8.553519999999999		8.553519999999999		25.80915	25.80915	25.80915		25.80915		0.0	14.991299999999999	0.0	14.991299999999999	14.991299999999999	8.553519999999999	25.80915	2	0	1	74182	Gpcpd1_69001,Gpcpd1_72916	14.991299999999999	14.991299999999999		8.553519999999999	8.553519999999999		25.80915	25.80915		14.991299999999999	8.553519999999999	25.80915	0															0						Exp 2,1(0.5);Exp 3,1(0.5)	3.9239040277427164	8.780726909637451	2.4210314750671387	6.3596954345703125	2.7850559945797517	4.390363454818726	14.991299999999999	14.991299999999999	8.553519999999999	8.553519999999999	25.80915	25.80915	UP	1.0	0.0	0.0	
968	Acyl chain remodeling of cardiolipin	6	6	2	2	1	2	2	2	2	1	1	893	5	8088	0.88682	0.4668	0.4668	16.67	231086	hadhb	Hadhb_78747		14.5227	14.5227	14.5227		14.5227		9.2304	9.2304	9.2304		9.2304		31.887	31.887	31.887		31.886999999999997		0.0	14.5227	0.0	14.5227	14.5227	9.2304	31.887	0	1	0															1	231086	Hadhb_78747	14.5227	14.5227		9.2304	9.2304		31.887	31.887		14.5227	9.2304	31.887	0						Exp 2,1(1)	1.7899829149246216	1.7899829149246216	1.7899829149246216	1.7899829149246216	0.0	1.7899829149246216	14.5227	14.5227	9.2304	9.2304	31.887	31.887	DOWN	0.0	1.0	0.0	
969	Acyl chain remodeling of diacylglycerol and triacylglycerol	5	5	4	4	2	3	3	3	3	2	2	892	3	8090	0.99159	0.08065	0.08065	40.0	116939;23945	pnpla3;mgll	Pnpla3_59820;Mgll_75873	23945(0.2313)	28.752850000000002	28.752850000000002	16.1735	17.789887375837985	22.91129433842239	15.755397416453242	14.017175000000002	14.017175000000002	8.10205	8.365249998132153	11.270329421119591	7.408581933327077	35.006	35.006	27.476	10.64902812466941	31.50924427480916	9.431182258693248	0.0	16.1735	0.0	16.1735	41.3322;16.1735	19.9323;8.10205	42.536;27.476	1	1	1	116939	Pnpla3_59820	41.3322	41.3322		19.9323	19.9323		42.536	42.536		41.3322	19.9323	42.536	1	23945	Mgll_75873	16.1735	16.1735		8.10205	8.10205		27.476	27.476		16.1735	8.10205	27.476	0						Power,2(1)	9.876270874477587	20.379719734191895	7.681370735168457	12.698348999023438	3.547539351437369	10.189859867095947	4.0973240000000075	53.408376	2.4235300000000013	25.610820000000004	20.2472	49.7648	CONFLICT	0.5	0.5	0.0	
97	PELP1 modulation of estrogen receptor activity	7	7	4	4	1	4	4	4	4	1	1	893	6	8087	0.85166	0.51988	0.51988	14.29	20779	src	Src_61324		14.8715	14.8715	14.8715		14.8715		10.0734	10.0734	10.0734		10.0734		28.9011	28.9011	28.9011		28.9011		0.0	14.8715	0.0	14.8715	14.8715	10.0734	28.9011	1	0	1	20779	Src_61324	14.8715	14.8715		10.0734	10.0734		28.9011	28.9011		14.8715	10.0734	28.9011	0															0						Exp 2,1(1)	1.8442871570587158	1.8442871570587158	1.8442871570587158	1.8442871570587158	0.0	1.8442871570587158	14.8715	14.8715	10.0734	10.0734	28.9011	28.9011	UP	1.0	0.0	0.0	
970	Acyl chain remodelling of phosphatidylcholine	10	25	7	7	4	7	7	7	7	4	4	890	21	8072	0.90398	0.23333	0.3059	16.0	99010;67216;14792;66350	lpcat4;mboat2;lpcat3;pla2g12a	Lpcat4_61483;Mboat2_31361;Lpcat3_68404;Pla2g12a_75082		9.9092775	11.27115	3.22701	4.7107298437388305	10.159264157482408	4.880956833526903	5.9809075	7.11086	1.33597	3.1528777655064593	6.027448133050059	3.2344770867602466	18.477525	20.173949999999998	10.2446	6.09985654551263	19.008135413623688	6.336172843563722	0.5	6.685505	1.5	11.27115	12.3983;13.8678;3.22701;10.144	8.36594;7.15832;1.33597;7.0634	23.3176;22.8815;10.2446;17.4664	1	3	1	66350	Pla2g12a_75082	10.144	10.144		7.0634	7.0634		17.4664	17.4664		10.144	7.0634	17.4664	3	99010;67216;14792	Lpcat4_61483;Mboat2_31361;Lpcat3_68404	9.831036666666668	12.3983	5.766258208147926	5.620076666666667	7.15832	3.758957829589649	18.814566666666668	22.8815	7.425011266209179	12.3983;13.8678;3.22701	8.36594;7.15832;1.33597	23.3176;22.8815;10.2446	0						Exp 4,1(0.25);Exp 5,1(0.25);Linear,2(0.5)	2.926824140894474	12.927032709121704	1.747755527496338	5.784182548522949	1.7629381462499538	2.6975473165512085	5.292762253135947	14.525792746864056	2.8910872898036706	9.07072771019633	12.499665585397619	24.45538441460238	DOWN	0.25	0.75	0.0	
971	Acyl chain remodelling of phosphatidylglycerol	7	16	3	3	3	3	3	3	3	3	3	891	13	8080	0.93284	0.2084	0.2084	18.75	99010;226856;66350	lpcat4;lpgat1;pla2g12a	Lpcat4_61483;Lpgat1_79513;Pla2g12a_75082	226856(-0.3199)	8.945156666666668	10.144	4.29317	4.183443806558579	7.879265026757047	4.611706512659565	5.823519999999999	7.0634	2.04122	3.3396852516966327	4.9097483510524444	3.655569149868062	17.490566666666666	17.4664	11.6877	5.814987663214201	16.431177359971457	6.418982323147696	0.0	4.29317	0.5	7.218585	12.3983;4.29317;10.144	8.36594;2.04122;7.0634	23.3176;11.6877;17.4664	2	1	2	226856;66350	Lpgat1_79513;Pla2g12a_75082	7.218585	7.218585	4.137161568569688	4.55231	4.55231	3.551217534339453	14.57705	14.57705	4.086157956442707	4.29317;10.144	2.04122;7.0634	11.6877;17.4664	1	99010	Lpcat4_61483	12.3983	12.3983		8.36594	8.36594		23.3176	23.3176		12.3983	8.36594	23.3176	0						Exp 4,1(0.34);Linear,2(0.67)	3.0955701178118677	10.348212003707886	2.0005645751953125	5.784182548522949	2.041471855534147	2.563464879989624	4.211144347268381	13.679168986064955	2.0443103690116797	9.602729630988321	10.910288668992168	24.070844664341166	UP	0.6666666666666666	0.3333333333333333	0.0	
972	Acyl chain remodelling of phosphatidylinositol	4	15	2	2	2	2	2	2	2	2	2	892	13	8080	0.81808	0.44828	0.6557	13.33	77582;66350	mboat7;pla2g12a	Mboat7_31004;Pla2g12a_75082	77582(-0.7034)	26.4559	26.4559	10.144	23.06851020807369	30.404734342012667	22.382349695657133	15.7179	15.7179	7.0634	12.239311275557949	17.813007670654468	11.875259500184809	31.1927	31.1927	17.4664	19.411919621201804	34.51560443349753	18.834522442357947	0.0	10.144	0.5	26.4559	42.7678;10.144	24.3724;7.0634	44.919;17.4664	2	0	2	77582;66350	Mboat7_31004;Pla2g12a_75082	26.4559	26.4559	23.06851020807369	15.7179	15.7179	12.239311275557949	31.1927	31.1927	19.411919621201804	42.7678;10.144	24.3724;7.0634	44.919;17.4664	0															0						Linear,1(0.5);Power,1(0.5)	2.9189470120110736	5.887189626693726	2.563464879989624	3.3237247467041016	0.5375849072177878	2.943594813346863	-5.515423999999996	58.427223999999995	-1.2449199999999934	32.680719999999994	4.289152000000005	58.09624799999999	UP	1.0	0.0	0.0	
973	Acyl chain remodelling of phosphatidylserine	6	16	4	4	3	4	4	4	4	3	3	891	13	8080	0.93284	0.2084	0.2084	18.75	99010;14792;66350	lpcat4;lpcat3;pla2g12a	Lpcat4_61483;Lpcat3_68404;Pla2g12a_75082		8.58977	10.144	3.22701	4.779106949598427	8.62488965083537	5.081712181053454	5.5884366666666665	7.0634	1.33597	3.7398873213284567	5.55955971653839	3.939171041745167	17.009533333333334	17.4664	10.2446	6.5484637597938455	17.40556444527877	7.119615931882708	0.0	3.22701	0.5	6.685505	12.3983;3.22701;10.144	8.36594;1.33597;7.0634	23.3176;10.2446;17.4664	1	2	1	66350	Pla2g12a_75082	10.144	10.144		7.0634	7.0634		17.4664	17.4664		10.144	7.0634	17.4664	2	99010;14792	Lpcat4_61483;Lpcat3_68404	7.812655	7.812655	6.485081351228373	4.850955	4.850955	4.970939458537993	16.7811	16.7811	9.244006950451736	12.3983;3.22701	8.36594;1.33597	23.3176;10.2446	0						Exp 4,1(0.34);Linear,2(0.67)	3.4756439201270837	11.179277181625366	2.563464879989624	5.784182548522949	1.7871067263999758	2.831629753112793	3.1817013796801374	13.997838620319861	1.356355761319275	9.820517572014058	9.599248996922185	24.419817669744482	DOWN	0.3333333333333333	0.6666666666666666	0.0	
975	O-linked glycosylation of mucins	23	51	11	9	6	9	9	8	11	5	5	889	46	8047	0.60258	0.58256	1.0	9.8	97440;59048;53625;20446;56336	b3gnt9;c1galt1c1;b3gnt2;st6galnac2;b4galt5	B3gnt9_29132;C1galt1c1_55227;B3gnt2_32025;St6galnac2_61353;B4galt5_58342	97440(-0.5195);53625(-0.1895)	18.788218	14.8762	1.55079	14.776325987339343	18.535085409006697	14.741673485707429	10.792214999999999	9.67773	0.955445	8.26024076041068	10.673969272837395	8.23850404038479	27.265866	31.3977	3.04223	15.354619948676033	26.973086911073104	15.431348882882792	1.5	14.41295			13.9497;21.7865;14.8762;41.7779;1.55079	8.1371;11.4592;9.67773;23.7316;0.955445	35.5859;23.1345;31.3977;43.169;3.04223	2	3	2	20446;56336	St6galnac2_61353;B4galt5_58342	21.664345	21.664345	28.44486226853718	12.3435225	12.3435225	16.10517364985589	23.105615	23.105615	28.373911174112912	41.7779;1.55079	23.7316;0.955445	43.169;3.04223	3	97440;59048;53625	B3gnt9_29132;C1galt1c1_55227;B3gnt2_32025	16.8708	14.8762	4.282251794325041	9.75801	9.67773	1.6625043642950148	30.039366666666666	31.3977	6.335861628329137	13.9497;21.7865;14.8762	8.1371;11.4592;9.67773	35.5859;23.1345;31.3977	0						Exp 2,1(0.2);Exp 4,1(0.2);Hill,1(0.2);Linear,1(0.2);Power,1(0.2)	2.7088448035663912	14.219899654388428	2.0019006729125977	4.637950420379639	1.0666373092652497	2.6299872398376465	5.836197208768112	31.74023879123189	3.5517947384892095	18.03263526151079	13.806948202225737	40.724783797774265	DOWN	0.4	0.6	0.0	
976	Integrated cancer pathway	33	35	19	18	8	17	17	15	17	7	7	887	28	8065	0.98079	0.05355	0.078909	20.0	17688;16451;20846;12534;12371;12370;12367	msh6;jak1;stat1;cdk1;casp9;casp8;casp3	Msh6_29406;Jak1_31221;Stat1_32116;Cdk1_76534;Casp9_66180;Casp8_30720;Casp3_74474	16451(0.02925);20846(0.3763);12534(0.4062);12370(-0.3147);12367(-0.0181)	14.61143857142857	12.4152	1.39797	13.273781728056285	16.91053859307906	16.20686717020199	8.878067428571429	8.37528	0.892782	7.487342329805658	10.054563398648648	9.071289110174114	20.285687142857142	22.8406	2.59376	12.60806715807346	21.072075196072245	15.769700982748947	0.5	2.282235	2.5	11.4054	1.39797;21.4771;40.6585;3.1665;12.4152;10.3956;12.7692	0.892782;12.7224;23.0251;1.53678;8.37528;7.02404;8.57009	2.59376;22.8406;41.6753;8.09045;23.3661;19.0313;24.4023	0	7	0															7	17688;16451;20846;12534;12371;12370;12367	Msh6_29406;Jak1_31221;Stat1_32116;Cdk1_76534;Casp9_66180;Casp8_30720;Casp3_74474	14.61143857142857	12.4152	13.273781728056285	8.878067428571429	8.37528	7.487342329805658	20.285687142857142	22.8406	12.60806715807346	1.39797;21.4771;40.6585;3.1665;12.4152;10.3956;12.7692	0.892782;12.7224;23.0251;1.53678;8.37528;7.02404;8.57009	2.59376;22.8406;41.6753;8.09045;23.3661;19.0313;24.4023	0						Exp 2,1(0.15);Exp 4,2(0.29);Hill,1(0.15);Linear,2(0.29);Power,1(0.15)	2.7329656315484434	23.326604962348938	1.6927745342254639	9.558792114257812	2.8185915440549603	2.2493326663970947	4.778083456687336	24.444793686169803	3.3313666086390663	14.424768248503792	10.945500283087432	29.62587400262685	DOWN	0.0	1.0	0.0	
977	Integrated breast cancer pathway	133	146	59	57	23	54	55	49	56	20	20	874	126	7967	0.94676	0.086818	0.12566	13.7	56784;17688;228880;13138;15357;240168;20586;11908;16451;20683;20846;12190;14109;12912;11350;12371;12370;12367;19353;18709	ralgapa1;msh6;zmynd8;dag1;hmgcr;rasgrp3;smarca4;atf1;jak1;sp1;stat1;brca2;fau;creb1;abl1;casp9;casp8;casp3;rac1;pik3r2	Ralgapa1_73725;Msh6_29406;Zmynd8_64908;Dag1_29892;Hmgcr_29103,Hmgcr_74943;Rasgrp3_61493;Smarca4_30912,Smarca4_73026;Atf1_79978;Jak1_31221;Sp1_69023;Stat1_32116;Brca2_75334;Fau_78981;Creb1_64373;Abl1_29114,Abl1_71120;Casp9_66180;Casp8_30720;Casp3_74474;Rac1_30873;Pik3r2_72627	56784(0.1178);228880(-0.1224);13138(0.2849);11908(0.3163);16451(0.02925);20683(0.133);20846(0.3763);12190(0.06121);12912(-0.3088);12370(-0.3147);12367(-0.0181);19353(0.02082);18709(0.4105)	13.460134	11.9789	1.39797	9.630098847780603	14.137243312083795	11.965922299686806	8.1748466	8.129685	0.72256	5.391833291535218	8.502775483796581	6.668894234271218	22.2303395	22.043125	2.59376	10.40799337261838	21.453118427792944	12.750185740996832	6.5	9.793510000000001	13.5	14.691	12.9154;1.39797;14.0119;33.7128;4.435;7.46924;9.19142;15.3701;21.4771;10.4289;40.6585;3.32815;5.65901;11.5426;16.18685;12.4152;10.3956;12.7692;7.12354;18.7142	8.64976;0.892782;9.2339;18.9256;2.9136849999999996;5.20475;6.2473600000000005;10.4536;12.7224;7.23397;23.0251;0.72256;4.15122;7.88409;9.174055000000001;8.37528;7.02404;8.57009;3.64681;8.44588	24.8406;2.59376;28.3417;42.4197;8.93516;12.5773;16.7716;29.8989;22.8406;18.1433;41.6753;13.9485;8.54912;20.9555;21.24565;23.3661;19.0313;24.4023;31.6955;32.3749	5	18	5	56784;11908;20683;14109;12912	Ralgapa1_73725;Atf1_79978;Sp1_69023;Fau_78981;Creb1_64373	11.183202	11.5426	3.596715878967926	7.6745280000000005	7.88409	2.3090054937721547	20.477483999999997	20.9555	7.996290431086153	12.9154;15.3701;10.4289;5.65901;11.5426	8.64976;10.4536;7.23397;4.15122;7.88409	24.8406;29.8989;18.1433;8.54912;20.9555	15	17688;228880;13138;15357;240168;20586;16451;20846;12190;11350;12371;12370;12367;19353;18709	Msh6_29406;Zmynd8_64908;Dag1_29892;Hmgcr_29103,Hmgcr_74943;Rasgrp3_61493;Smarca4_30912,Smarca4_73026;Jak1_31221;Stat1_32116;Brca2_75334;Abl1_29114,Abl1_71120;Casp9_66180;Casp8_30720;Casp3_74474;Rac1_30873;Pik3r2_72627	14.219111333333334	12.4152	10.940517800933415	8.341619466666668	8.37528	6.149161625817607	22.814624666666663	22.8406	11.281952094424888	1.39797;14.0119;33.7128;4.435;7.46924;9.19142;21.4771;40.6585;3.32815;16.18685;12.4152;10.3956;12.7692;7.12354;18.7142	0.892782;9.2339;18.9256;2.9136849999999996;5.20475;6.2473600000000005;12.7224;23.0251;0.72256;9.174055000000001;8.37528;7.02404;8.57009;3.64681;8.44588	2.59376;28.3417;42.4197;8.93516;12.5773;16.7716;22.8406;41.6753;13.9485;21.24565;23.3661;19.0313;24.4023;31.6955;32.3749	0						Exp 2,5(0.22);Exp 4,2(0.09);Hill,3(0.14);Linear,9(0.4);Poly 2,1(0.05);Power,3(0.14)	2.8709925846068316	96.59997308254242	1.6066793203353882	27.602096557617188	5.952486824173807	2.2493326663970947	9.239557091878755	17.68071090812125	5.811771470409039	10.537921729590963	17.66883528465376	26.791843715346225	DOWN	0.25	0.75	0.0	
