1009	Apoptosis modulation by HSP70	17	18	14	14	4	14	14	14	14	4	4	1075	14	7894	0.94425	0.16183	0.26163	22.22	193740;12371;12122;12369	hspa1a;casp9;bid;casp7	Hspa1a_69206;Casp9_71311;Bid_29213;Casp7_57185	12371(-0.1706);12122(-0.1498);12369(-0.01144)	15.530225	15.56605	11.4794	3.3336540496128317	15.721965234453613	3.5290440485137617	10.71317	11.05445	6.62258	3.110298443922491	10.909007300261623	3.233558471452099	25.4419	25.4174	23.9319	1.2662506307994714	25.00207363151539	1.051479429718855	0.0	11.4794	0.5	13.152899999999999	14.8264;11.4794;16.3057;19.5094	10.5847;6.62258;11.5242;14.1212	23.9319;25.6392;27.0009;25.1956	1	3	1	193740	Hspa1a_69206	14.8264	14.8264		10.5847	10.5847		23.9319	23.9319		14.8264	10.5847	23.9319	3	12371;12122;12369	Casp9_71311;Bid_29213;Casp7_57185	15.764833333333334	16.3057	4.04223051833184	10.755993333333334	11.5242	3.8078775700031815	25.945233333333334	25.6392	0.9407546562910372	11.4794;16.3057;19.5094	6.62258;11.5242;14.1212	25.6392;27.0009;25.1956	0						Exp 2,1(0.25);Hill,1(0.25);Linear,2(0.5)	11.951306274252941	68.11555433273315	6.7163286209106445	44.88786697387695	18.595528812334162	8.255679368972778	12.263244031379429	18.79720596862057	7.6650775249559615	13.761262475044042	24.20097438181654	26.68282561818346	DOWN	0.25	0.75	0.0	
101	Phospholipase C signaling pathway	7	10	6	6	2	6	6	6	6	1	1	1078	9	7899	0.65802	0.72189	1.0	10.0	18607	pdpk1	Pdpk1_64313	18607(-0.7904)	20.0699	20.0699	20.0699		20.0699		9.63788	9.63788	9.63788		9.637880000000001		35.6625	35.6625	35.6625		35.6625		0.0	20.0699	0.0	20.0699	20.0699	9.63788	35.6625	1	0	1	18607	Pdpk1_64313	20.0699	20.0699		9.63788	9.63788		35.6625	35.6625		20.0699	9.63788	35.6625	0															0						Hill,1(1)	2.966662883758545	2.966662883758545	2.966662883758545	2.966662883758545	0.0	2.966662883758545	20.0699	20.0699	9.63788	9.63788	35.6625	35.6625	UP	1.0	0.0	0.0	
1010	Formation of apoptosome	3	3	2	2	1	2	2	2	2	1	1	1078	2	7906	0.96024	0.3187	0.3187	33.33	12371	casp9	Casp9_71311	12371(-0.1706)	11.4794	11.4794	11.4794		11.4794		6.62258	6.62258	6.62258		6.62258		25.6392	25.6392	25.6392		25.6392		0.0	11.4794	0.0	11.4794	11.4794	6.62258	25.6392	0	1	0															1	12371	Casp9_71311	11.4794	11.4794		6.62258	6.62258		25.6392	25.6392		11.4794	6.62258	25.6392	0						Exp 2,1(1)	8.952495574951174	8.952495574951172	8.952495574951172	8.952495574951172	0.0	8.952495574951172	11.4794	11.4794	6.62258	6.62258	25.6392	25.6392	DOWN	0.0	1.0	0.0	
1011	Apoptosis regulation	63	74	41	41	10	39	39	37	41	10	10	1069	64	7844	0.72897	0.39607	0.71814	13.51	12448;12530;72993;66997;19182;19179;19175;19167;12371;224105	ccne2;cdc25a;appl1;psmd12;psmc3;psmc1;psmb6;psma3;casp9;pak2	Ccne2_29384;Cdc25a_32088;Appl1_61968;Psmd12_31537;Psmc3_54556;Psmc1_30361;Psmb6_69968;Psma3_68324;Casp9_71311;Pak2_58714	12530(0.1107);66997(-0.03901);19179(-0.06907);12371(-0.1706)	15.029436999999998	16.6155	2.12802	8.246275562620244	12.89138865959585	7.7631016815712695	9.214623	7.279285	1.34762	5.974235831020195	7.114328409288824	4.764415319448907	26.962866	24.317549999999997	4.01306	18.20822973439342	21.310117190130626	14.94008463963874	2.5	9.264365	6.5	20.0457	2.12802;7.04933;20.3959;6.39132;19.6955;17.7854;20.5454;15.4456;11.4794;29.3785	1.34762;4.49553;17.2342;4.231;7.61694;9.01453;16.3196;6.94163;6.62258;18.3226	4.01306;13.3188;33.4696;12.4531;33.4809;19.3149;35.176;22.9959;25.6392;69.7672	1	9	1	19175	Psmb6_69968	20.5454	20.5454		16.3196	16.3196		35.176	35.176		20.5454	16.3196	35.176	9	12448;12530;72993;66997;19182;19179;19167;12371;224105	Ccne2_29384;Cdc25a_32088;Appl1_61968;Psmd12_31537;Psmc3_54556;Psmc1_30361;Psma3_68324;Casp9_71311;Pak2_58714	14.41655222222222	15.4456	8.501492871234115	8.42518111111111	6.94163	5.756884783108494	26.050295555555557	22.9959	19.06864585221451	2.12802;7.04933;20.3959;6.39132;19.6955;17.7854;15.4456;11.4794;29.3785	1.34762;4.49553;17.2342;4.231;7.61694;9.01453;6.94163;6.62258;18.3226	4.01306;13.3188;33.4696;12.4531;33.4809;19.3149;22.9959;25.6392;69.7672	0						Exp 2,3(0.3);Exp 4,1(0.1);Hill,5(0.5);Poly 2,1(0.1)	8.944307440708435	134.35165643692017	1.9900603294372559	45.408634185791016	13.300202353186911	7.648837327957153	9.918342453711778	20.140531546288216	5.5117532690175235	12.917492730982476	15.67728828842395	38.248443711576044	DOWN	0.1	0.9	0.0	
1012	Apoptosis intrinsic pathway	27	27	19	19	8	19	19	19	19	7	7	1072	20	7888	0.9885	0.036122	0.036122	25.93	171543;54401;12371;12122;12028;12015;12369	bmf;ywhab;casp9;bid;bax;bad;casp7	Bmf_30266;Ywhab_60393;Casp9_71311;Bid_29213;Bax_29957;Bad_31862;Casp7_57185	12371(-0.1706);12122(-0.1498);12015(-0.01501);12369(-0.01144)	12.589805714285717	11.4794	3.96359	7.300540320775021	10.91132007119797	7.005247811885086	8.467774285714286	6.62258	2.57038	5.2206912678171165	7.319877621930128	5.080509435287969	22.58908857142857	25.1956	7.26942	12.316700044664877	19.291365586878815	10.792777627516124	0.5	4.96685	1.5	6.800725	5.97011;3.96359;11.4794;16.3057;7.63134;23.2691;19.5094	3.98249;2.57038;6.62258;11.5242;4.85367;15.5999;14.1212	11.5491;7.26942;25.6392;27.0009;16.8536;44.6158;25.1956	3	4	3	171543;12028;12015	Bmf_30266;Bax_29957;Bad_31862	12.290183333333333	7.63134	9.544232795695699	8.145353333333333	4.85367	6.470505247060183	24.3395	16.8536	17.758960733387525	5.97011;7.63134;23.2691	3.98249;4.85367;15.5999	11.5491;16.8536;44.6158	4	54401;12371;12122;12369	Ywhab_60393;Casp9_71311;Bid_29213;Casp7_57185	12.8145225	13.89255	6.760948239363937	8.70959	9.07339	5.139813952806722	21.27628	25.4174	9.369445757225986	3.96359;11.4794;16.3057;19.5094	2.57038;6.62258;11.5242;14.1212	7.26942;25.6392;27.0009;25.1956	0						Exp 2,1(0.15);Exp 4,1(0.15);Hill,1(0.15);Linear,2(0.29);Poly 2,2(0.29)	8.610313992222288	93.66173791885376	2.1175661087036133	44.88786697387695	14.68599621163341	8.952495574951172	7.181489759237995	17.998121669333436	4.600232071096919	12.335316500331654	13.464749489903385	31.71342765295376	CONFLICT	0.42857142857142855	0.5714285714285714	0.0	
1014	Mitochondrial pathway of apoptosis: antiapoptotic Bcl-2 family	19	23	9	9	3	8	8	8	8	3	3	1076	20	7888	0.70444	0.53328	0.75128	13.04	23897;26420;12028	hax1;mapk9;bax	Hax1_75875;Mapk9_30619;Bax_29957		15.067546666666667	17.692	7.63134	6.5321472361340165	14.200079487294804	6.849612612386608	10.632723333333333	12.3811	4.85367	5.133255925300562	9.969474120755565	5.381603682593631	26.863533333333333	30.0598	16.8536	8.855533281137474	25.708429278165056	9.28528526841113	0.5	12.66167	1.5	18.78565	17.692;19.8793;7.63134	12.3811;14.6634;4.85367	30.0598;33.6772;16.8536	2	1	2	23897;12028	Hax1_75875;Bax_29957	12.66167	12.66167	7.113960909212251	8.617385	8.617385	5.322696797907052	23.456699999999998	23.456699999999998	9.338193573705794	17.692;7.63134	12.3811;4.85367	30.0598;16.8536	1	26420	Mapk9_30619	19.8793	19.8793		14.6634	14.6634		33.6772	33.6772		19.8793	14.6634	33.6772	0						Hill,1(0.34);Linear,1(0.34);Poly 2,1(0.34)	11.036771040296394	35.71303653717041	6.534048080444336	17.25435447692871	5.360181995516407	11.924633979797363	7.675726214936901	22.459367118396433	4.823897420361952	16.441549246304714	16.842554066915817	36.88451259975085	UP	0.6666666666666666	0.3333333333333333	0.0	
1015	Mitochondrial pathway of apoptosis: multidomain Bcl-2 family	46	64	29	29	8	26	29	25	28	6	6	1073	58	7850	0.33842	0.79653	0.69853	9.38	67414;50497;94044;26408;193740;12028	mfn1;hspa14;bcl2l13;map3k5;hspa1a;bax	Mfn1_66580;Hspa14_57727;Bcl2l13_76357;Map3k5_71001;Hspa1a_69206;Bax_29957	67414(-0.3464);50497(-0.2284);94044(0.3175);26408(0.2049)	10.605541833333334	7.390079999999999	0.824611	10.18545092162562	12.353275385629404	9.160768772559264	6.054836000000001	4.041645	0.149566	5.680100982445294	7.382677508755362	5.13055996760488	19.205313333333333	19.41535	5.3678	11.678993164218678	21.891528817534336	9.573056542119968	2.5	7.390079999999999			4.10008;0.824611;7.14882;29.102;14.8264;7.63134	2.35606;0.149566;3.22962;15.1554;10.5847;4.85367	9.10778;5.3678;21.9771;37.9937;23.9319;16.8536	4	2	4	67414;94044;193740;12028	Mfn1_66580;Bcl2l13_76357;Hspa1a_69206;Bax_29957	8.42666	7.390079999999999	4.5439107800806715	5.256012500000001	4.041645	3.700125269333232	17.967595	19.41535	6.617813616099604	4.10008;7.14882;14.8264;7.63134	2.35606;3.22962;10.5847;4.85367	9.10778;21.9771;23.9319;16.8536	2	50497;26408	Hspa14_57727;Map3k5_71001	14.9633055	14.9633055	19.995133516149888	7.652483	7.652483	10.610726978759656	21.68075	21.68075	23.069995132314176	0.824611;29.102	0.149566;15.1554	5.3678;37.9937	0						Exp 4,2(0.34);Hill,2(0.34);Linear,1(0.17);Poly 2,1(0.17)	6.013389336748643	41.97152519226074	2.1694416999816895	11.924633979797363	3.8198818539991524	6.40183424949646	2.455483697673147	18.755599968993522	1.5098086291390151	10.599863370860984	9.860172505815749	28.55045416085091	UP	0.6666666666666666	0.3333333333333333	0.0	
1016	Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family	69	91	49	48	19	47	48	46	48	17	17	1062	74	7834	0.97837	0.041334	0.071779	18.68	241275;19052;19025;15251;12995;13032;12534;16423;12261;11350;26420;171543;19055;12122;12015;18479;18749	noxa1;ppp2ca;ctsa;hif1a;csnk2a1;ctsc;cdk1;cd47;c1qbp;abl1;mapk9;bmf;ppp3ca;bid;bad;pak1;prkacb	Noxa1_58821;Ppp2ca_31086;Ctsa_69766;Hif1a_30830;Csnk2a1_71750;Ctsc_79799;Cdk1_76534;Cd47_57906;C1qbp_63448;Abl1_29114,Abl1_71120;Mapk9_30619;Bmf_30266;Ppp3ca_59808;Bid_29213;Bad_31862;Pak1_79482;Prkacb_29599	12995(-0.02746);13032(0.05413);12534(-0.2347);11350(-0.5024);12122(-0.1498);12015(-0.01501);18479(-0.05002);18749(-0.5345)	22.12973923529412	18.5695	0.335247	19.801583605531466	21.354115510416964	16.047744058625433	14.362873235294117	12.7876	0.178355	11.69402097328146	14.201992789052978	9.520092020076591	30.80246476470588	27.0756	0.764091	20.657400211153565	30.706049146546107	16.506013902940477	3.5	11.659895	8.5	18.77795	72.1243;7.32149;0.335247;21.9682;18.9864;29.2074;2.99882;15.9983;16.3406;69.4765;19.8793;5.97011;18.5695;16.3057;23.2691;17.3412;20.1134	41.3125;4.02088;0.178355;14.3308;14.2385;20.0624;1.86137;7.25755;11.546;42.246700000000004;14.6634;3.98249;12.7876;11.5242;15.5999;12.1664;16.3898	73.6857;16.823;0.764091;36.8434;21.1981;37.1896;5.79901;25.7048;27.0756;79.11269999999999;33.6772;11.5491;19.5358;27.0009;44.6158;29.2678;33.7993	5	11	5	241275;19025;12261;171543;12015	Noxa1_58821;Ctsa_69766;C1qbp_63448;Bmf_30266;Bad_31862	23.6078714	16.3406	28.545917034789845	14.523849000000002	11.546	16.159909811723267	31.538058200000002	27.0756	28.783502567544414	72.1243;0.335247;16.3406;5.97011;23.2691	41.3125;0.178355;11.546;3.98249;15.5999	73.6857;0.764091;27.0756;11.5491;44.6158	11	19052;15251;12995;13032;12534;16423;26420;19055;12122;18479;18749	Ppp2ca_31086;Hif1a_30830;Csnk2a1_71750;Ctsc_79799;Cdk1_76534;Cd47_57906;Mapk9_30619;Ppp3ca_59808;Bid_29213;Pak1_79482;Prkacb_29599	17.15361	18.5695	6.993892213491703	11.75480909090909	12.7876	5.394181480659425	26.076264545454546	27.0009	9.650906096736575	7.32149;21.9682;18.9864;29.2074;2.99882;15.9983;19.8793;18.5695;16.3057;17.3412;20.1134	4.02088;14.3308;14.2385;20.0624;1.86137;7.25755;14.6634;12.7876;11.5242;12.1664;16.3898	16.823;36.8434;21.1981;37.1896;5.79901;25.7048;33.6772;19.5358;27.0009;29.2678;33.7993	1	11350	Abl1_29114,Abl1_71120	65.5473,73.4057	44.8343,39.6591	79.4841,78.7413	Exp 4,3(0.17);Exp 5,2(0.12);Hill,5(0.28);Linear,4(0.23);Poly 2,2(0.12);Power,2(0.12)	6.496237316201336	161.63397979736328	1.515146017074585	19.7794132232666	6.597210074453061	6.083709478378296	12.716663900599633	31.5428145699886	8.80388853084622	19.92185793974202	20.98256003990378	40.622369489507975	DOWN	0.29411764705882354	0.6470588235294118	0.058823529411764705	
1017	Mitochondrial pathway of apoptosis: caspases	58	72	38	38	14	35	38	35	37	14	14	1065	58	7850	0.97783	0.045152	0.065804	19.44	227154;327959;56369;15510;15507;50497;193740;16150;12371;56215;20740;227753;12369;224105	stradb;xaf1;apip;hspd1;hspb1;hspa14;hspa1a;ikbkb;casp9;acin1;sptan1;gsn;casp7;pak2	Stradb_71650;Xaf1_58581;Apip_70013;Hspd1_29930;Hspb1_65345;Hspa14_57727;Hspa1a_69206;Ikbkb_80666;Casp9_71311;Acin1_69950,Acin1_70892;Sptan1_31084;Gsn_79720;Casp7_57185;Pak2_58714	15510(-0.2125);50497(-0.2284);12371(-0.1706);12369(-0.01144)	22.985924357142853	19.60185	0.824611	17.941934251365343	24.590934455553157	18.646159376458407	15.603051857142859	14.8076	0.149566	11.517777585159077	16.881996359858388	11.808335279229041	34.24731428571429	29.98805	5.3678	19.811846253998844	36.12825619810273	18.263745376108904	2.5	13.152899999999999	6.5	19.60185	21.8987;17.9147;19.6943;23.1479;37.5577;0.824611;14.8264;5.39318;11.4794;24.22035;19.4185;76.5393;19.5094;29.3785	17.6893;12.9585;14.3662;15.5338;22.6768;0.149566;10.5847;2.80688;6.62258;18.0293;15.249;49.3323;14.1212;18.3226	36.6258;28.4864;32.2571;44.2537;39.8219;5.3678;23.9319;13.7797;25.6392;31.4897;23.5491;79.2973;25.1956;69.7672	8	7	7	327959;15510;15507;193740;16150;56215;20740	Xaf1_58581;Hspd1_29930;Hspb1_65345;Hspa1a_69206;Ikbkb_80666;Acin1_69950,Acin1_70892;Sptan1_31084	20.354104285714282	19.4185	9.831307769220158	13.976997142857144	15.249	6.2378667283554385	29.330342857142856	28.4864	10.348452944258094	17.9147;23.1479;37.5577;14.8264;5.39318;24.22035;19.4185	12.9585;15.5338;22.6768;10.5847;2.80688;18.0293;15.249	28.4864;44.2537;39.8219;23.9319;13.7797;31.4897;23.5491	7	227154;56369;50497;12371;227753;12369;224105	Stradb_71650;Apip_70013;Hspa14_57727;Casp9_71311;Gsn_79720;Casp7_57185;Pak2_58714	25.617744428571427	19.6943	24.179780498342357	17.22910657142857	14.3662	15.567524763200975	39.16428571428571	32.2571	26.209428626127963	21.8987;19.6943;0.824611;11.4794;76.5393;19.5094;29.3785	17.6893;14.3662;0.149566;6.62258;49.3323;14.1212;18.3226	36.6258;32.2571;5.3678;25.6392;79.2973;25.1956;69.7672	0						Exp 2,3(0.2);Exp 4,1(0.07);Hill,8(0.54);Linear,2(0.14);Power,1(0.07)	6.27886188606056	151.0643219947815	1.8640916347503662	44.88786697387695	11.797447474747653	5.774496078491211	13.587364441694165	32.38448427259154	9.569670995840685	21.636432718445025	23.86923456224767	44.62539400918091	CONFLICT	0.5	0.5	0.0	
1018	Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization	2	2	1	1	0	1	1	1	1	0	0	1079	2	7906	0.77428	1.0	1.0	0.0																														0	0	0															0															0																							
1019	DCC role in regulating apoptosis	5	10	4	4	2	4	4	4	4	2	2	1077	8	7900	0.89129	0.34198	0.34198	20.0	72993;12371	appl1;casp9	Appl1_61968;Casp9_71311	12371(-0.1706)	15.937650000000001	15.937650000000001	11.4794	6.304917614449844	13.446820899250623	5.229103833996814	11.92839	11.92839	6.62258	7.503548461374794	8.964028209825146	6.223211218181707	29.5544	29.5544	25.6392	5.5369289394031105	27.366973522064942	4.592157759404325	0.0	11.4794	0.0	11.4794	20.3959;11.4794	17.2342;6.62258	33.4696;25.6392	0	2	0															2	72993;12371	Appl1_61968;Casp9_71311	15.937650000000001	15.937650000000001	6.304917614449844	11.92839	11.92839	7.503548461374794	29.5544	29.5544	5.5369289394031105	20.3959;11.4794	17.2342;6.62258	33.4696;25.6392	0						Exp 2,1(0.5);Hill,1(0.5)	13.272772364644888	28.630414962768555	8.952495574951172	19.677919387817383	7.584019909177374	14.315207481384277	7.199480000000001	24.67582	1.5290023999999995	22.3277776	21.880608000000002	37.228192	DOWN	0.0	1.0	0.0	
102	Phosphoinositides and their downstream targets	23	25	16	16	6	16	16	16	16	5	5	1074	20	7888	0.92925	0.17342	0.2141	20.0	56149;56421;18641;12015;18607	grasp;pfkp;pfkl;bad;pdpk1	Grasp_56900;Pfkp_70497;Pfkl_71368;Bad_31862;Pdpk1_64313	56421(-0.5813);18641(-0.464);12015(-0.01501);18607(-0.7904)	23.58162	22.7761	19.3002	5.263515811413513	23.066379307403615	5.018542637892608	14.680716	15.3298	9.63788	3.6816449822436628	13.758857731149778	4.058799431577638	47.550200000000004	43.1566	28.2219	22.519186000497445	45.97063582395087	21.015761027315627	0.5	19.68505	1.5	21.423000000000002	19.3002;22.7761;32.4928;23.2691;20.0699	13.1404;15.3298;19.6956;15.5999;9.63788	28.2219;43.1566;86.0942;44.6158;35.6625	3	2	3	56149;12015;18607	Grasp_56900;Bad_31862;Pdpk1_64313	20.879733333333334	20.0699	2.1047361647801046	12.792726666666667	13.1404	2.996177261133482	36.16673333333333	35.6625	8.208573429246588	19.3002;23.2691;20.0699	13.1404;15.5999;9.63788	28.2219;44.6158;35.6625	2	56421;18641	Pfkp_70497;Pfkl_71368	27.63445	27.63445	6.870744460755324	17.5127	17.5127	3.0870867853042507	64.6254	64.6254	30.36146812787551	22.7761;32.4928	15.3298;19.6956	43.1566;86.0942	0						Exp 2,1(0.2);Exp 5,1(0.2);Hill,1(0.2);Linear,2(0.4)	2.8923906584701613	14.986091613769531	1.7837026119232178	4.145084857940674	0.8493347888778694	2.966662883758545	18.9679449712535	28.195295028746507	11.4536118878674	17.907820112132598	27.811263167531035	67.28913683246896	UP	0.6	0.4	0.0	
1020	Breakdown of the nuclear lamina	3	3	3	3	0	3	3	3	3	0	0	1079	3	7905	0.6813	1.0	1.0	0.0																														0	0	0															0															0																							
1021	Activation of DNA fragmentation factor	7	9	5	5	2	5	4	4	5	2	2	1077	7	7901	0.91673	0.29533	0.29533	22.22	16211;16646	kpnb1;kpna1	Kpnb1_31314;Kpna1_63783,Kpna1_75167	16211(0.1764);16646(0.474)	10.9813975	10.9813975	3.10021	11.145682250105304	12.740976410147217	10.864345214426995	7.134379999999999	7.134379999999999	2.23744	6.925318962127305	8.227686351137608	6.750511474867983	17.327905	17.327905	4.85326	17.641812144789714	20.11303379608225	17.196501124662447	0.0	3.10021	0.0	3.10021	3.10021;18.862585	2.23744;12.03132	4.85326;29.80255	0	3	0															2	16211;16646	Kpnb1_31314;Kpna1_63783,Kpna1_75167	10.9813975	10.9813975	11.145682250105304	7.134379999999999	7.134379999999999	6.925318962127305	17.327905	17.327905	17.641812144789714	3.10021;18.862585	2.23744;12.03132	4.85326;29.80255	0						Exp 5,1(0.34);Hill,1(0.34);Poly 2,1(0.34)	2.763874204220736	8.93108081817627	1.57051420211792	3.9980359077453613	1.2588388597085227	3.3625307083129883	-4.465729999999997	26.428524999999997	-2.4636223999999984	16.7323824	-7.122399199999997	41.7782092	DOWN	0.0	1.0	0.0	
1022	Caspase-mediated cleavage of cytoskeletal proteins	11	12	8	8	4	8	8	8	8	4	4	1075	8	7900	0.99053	0.046374	0.046374	33.33	20740;227753;12369;11518	sptan1;gsn;casp7;add1	Sptan1_31084;Gsn_79720;Casp7_57185;Add1_70712	12369(-0.01144);11518(-0.6677)	33.663575	19.46395	19.1871	28.584138692565723	41.17497153929229	32.009908723166866	23.413449999999997	15.10015	14.1212	17.285821953362053	27.716823734197312	19.569665790835565	40.389975	29.356749999999998	23.5491	26.30265801440038	46.40841781335366	29.90833396884655	0.0	19.1871	0.5	19.3028	19.4185;76.5393;19.5094;19.1871	15.249;49.3323;14.1212;14.9513	23.5491;79.2973;25.1956;33.5179	1	3	1	20740	Sptan1_31084	19.4185	19.4185		15.249	15.249		23.5491	23.5491		19.4185	15.249	23.5491	3	227753;12369;11518	Gsn_79720;Casp7_57185;Add1_70712	38.41193333333333	19.5094	33.01966135537028	26.134933333333333	14.9513	20.093795851041516	46.003600000000006	33.5179	29.13190714817689	76.5393;19.5094;19.1871	49.3323;14.1212;14.9513	79.2973;25.1956;33.5179	0						Hill,3(0.75);Power,1(0.25)	7.72147790136533	58.34146499633789	2.8254876136779785	44.88786697387695	20.239192377394204	5.3140552043914795	5.651119081285589	61.67603091871442	6.473344485705198	40.353555514294804	14.61337014588764	66.16657985411237	DOWN	0.25	0.75	0.0	
1023	Inactivation of BCL-2 by BH3-only proteins	6	6	6	6	3	6	6	6	6	2	2	1077	4	7904	0.97391	0.15572	0.15572	33.33	12122;12015	bid;bad	Bid_29213;Bad_31862	12122(-0.1498);12015(-0.01501)	19.7874	19.7874	16.3057	4.923867360114408	20.510082379293184	4.816630579286543	13.56205	13.56205	11.5242	2.8819551080820216	13.985038277750123	2.8191890817701526	35.808350000000004	35.808350000000004	27.0009	12.455615239922894	37.636476754604274	12.18434471537969	0.0	16.3057	0.0	16.3057	16.3057;23.2691	11.5242;15.5999	27.0009;44.6158	1	1	1	12015	Bad_31862	23.2691	23.2691		15.5999	15.5999		44.6158	44.6158		23.2691	15.5999	44.6158	1	12122	Bid_29213	16.3057	16.3057		11.5242	11.5242		27.0009	27.0009		16.3057	11.5242	27.0009	0						Linear,2(1)	4.677150697307687	9.973426342010498	3.2570977210998535	6.7163286209106445	2.446045626946253	4.986713171005249	12.963268000000003	26.611532	9.567864	17.556236	18.545748000000007	53.070952000000005	CONFLICT	0.5	0.5	0.0	
1024	Activation and myristolyation of BID and its translocation to mitochondria	3	3	2	2	1	2	2	2	2	1	1	1078	2	7906	0.96024	0.3187	0.3187	33.33	12122	bid	Bid_29213	12122(-0.1498)	16.3057	16.3057	16.3057		16.3057		11.5242	11.5242	11.5242		11.5242		27.0009	27.0009	27.0009		27.0009		0.0	16.3057	0.0	16.3057	16.3057	11.5242	27.0009	0	1	0															1	12122	Bid_29213	16.3057	16.3057		11.5242	11.5242		27.0009	27.0009		16.3057	11.5242	27.0009	0						Linear,1(1)	6.716328620910645	6.7163286209106445	6.7163286209106445	6.7163286209106445	0.0	6.7163286209106445	16.3057	16.3057	11.5242	11.5242	27.0009	27.0009	DOWN	0.0	1.0	0.0	
